,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,第1节,2.5,0.83,-2.5,0.83,138.5,0.83,138.5,0.83,,,,,,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,,,1.1,0.66
1,,,,第1节,2.5,0.83,-2.5,0.83,138.5,0.83,138.5,0.83,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,10.0,,0.0,0,,1087.0,1.1,0.66
2,,,,第1节,2.5,0.83,-2.5,0.83,137.5,0.83,137.5,0.83,137.5,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,10.0,GD,0.0,0,,21077.0,1.1,0.66
3,,,,第1节,2.5,0.83,-2.5,0.83,137.5,0.83,137.5,0.83,137.5,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,9.0,GD,53.0,0,,21077.0,1.1,0.66
4,,,,第1节,2.5,0.83,-2.5,0.83,137.5,0.83,137.5,0.83,137.5,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,9.0,GD,53.0,0,,11077.0,1.1,0.66
5,,,,第1节,2.5,0.83,-2.5,0.83,137.5,0.83,137.5,0.83,137.5,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,9.0,GD,50.0,0,,11077.0,1.1,0.66
6,,,,第1节,2.5,0.83,-2.5,0.83,137.5,0.83,137.5,0.83,137.5,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,9.0,GD,50.0,0,,11077.0,1.1,0.66
7,,,,第1节,2.5,0.83,-2.5,0.83,137.5,0.83,137.5,0.83,137.5,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,9.0,GD,42.0,0,,11077.0,1.1,0.66
8,,,,第1节,2.5,0.83,-2.5,0.83,137.5,0.83,137.5,0.83,137.5,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,,,0.0,1,9.0,GD,42.0,0,,11086.0,1.1,0.66
9,,,,第1节,2.5,0.83,-2.5,0.83,137.5,0.83,137.5,0.83,137.5,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,,,1.0,1,9.0,GD,42.0,0,,21077.0,1.1,0.66
10,,,,第1节,2.5,0.83,-2.5,0.83,137.5,0.83,137.5,0.83,137.5,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,,,1.0,1,9.0,GD,42.0,0,,21077.0,1.1,0.66
11,,,,第1节,2.5,0.83,-2.5,0.83,137.5,0.83,137.5,0.83,137.5,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,,,1.0,1,9.0,GD,42.0,0,,21077.0,1.1,0.66
12,,,,第1节,2.5,0.83,-2.5,0.83,137.5,0.83,137.5,0.83,137.5,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,,,1.0,1,9.0,GD,42.0,0,,21077.0,1.1,0.66
13,,,,第1节,2.5,0.83,-2.5,0.83,137.5,0.83,137.5,0.83,137.5,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,,,1.0,1,9.0,GD,42.0,0,,21077.0,1.1,0.66
14,,,,第1节,2.5,0.83,-2.5,0.83,137.5,0.83,137.5,0.83,137.5,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,,,1.0,0.0,10.0,GD,0.0,0,,11077.0,1.1,0.66
15,,,,第1节,2.5,0.83,-2.5,0.83,138.5,0.83,138.5,0.83,138.5,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,,,1.0,0.0,10.0,GD,0.0,0,,11077.0,1.1,0.66
16,,,,第1节,2.5,0.83,-2.5,0.83,138.5,0.83,138.5,0.83,138.5,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,2.0,0.0,0.0,,,1.0,0.0,10.0,GD,0.0,0,,21086.0,1.1,0.66
17,,,,第1节,2.5,0.83,-2.5,0.83,137.5,0.83,137.5,0.83,137.5,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,2.0,0.0,0.0,,,1.0,0.0,10.0,GD,0.0,0,,11077.0,1.1,0.66
18,,,,第1节,2.5,0.83,-2.5,0.83,137.5,0.83,137.5,0.83,137.5,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,2.0,0.0,0.0,,,1.0,1.0,9.0,GD,39.0,0,,11077.0,1.2,0.63
19,,,,第1节,2.5,0.83,-2.5,0.83,136.5,0.83,136.5,0.83,136.5,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,0.0,0.0,,,1.0,1.0,9.0,GD,39.0,0,,11077.0,1.2,0.63
20,,,,第1节,2.5,0.83,-2.5,0.83,136.5,0.83,136.5,0.83,136.5,1.0,1:2,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,0.0,0.0,,,1.0,1.0,9.0,GD,39.0,0,,11078.0,1.1,0.66
21,,,,第1节,2.5,0.83,-3.5,0.83,136.5,0.83,136.5,0.83,-3.5,1.0,1:2,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,0.0,0.0,,,1.0,1.0,9.0,GD,39.0,0,,11078.0,1.1,0.66
22,,,,第1节,3.5,0.83,-3.5,0.83,136.5,0.83,137.5,0.83,3.5,1.0,1:2,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,0.0,0.0,,,1.0,1.0,9.0,GD,39.0,0,,11078.0,1.1,0.66
23,,,,第1节,3.5,0.83,-3.5,0.83,137.5,0.83,137.5,0.83,137.5,1.0,1:2,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,0.0,0.0,,,1.0,1.0,9.0,GD,39.0,0,,11078.0,1.1,0.66
24,,,,第1节,3.5,0.83,-3.5,0.83,137.5,0.83,137.5,0.83,137.5,1.0,1:2,,0.0,0.0,0.0,0.0,1.0,0.0,5.0,5.0,0.0,1.0,100.0,0.0,1.0,,1.0,1.0,9.0,GD,39.0,0,,11079.0,1.25,0.0
