,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,第1节,-3.5,0.83,3.5,0.83,128.5,0.83,128.5,0.83,,,,,,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,,,0.56,1.3
1,,,,第1节,-3.5,0.83,3.5,0.83,128.5,0.83,128.5,0.83,,,,,,,,,,,,,,,,,,,1.0,1,10.0,,0.0,0,,,0.56,1.3
2,,,,第1节,-3.5,0.83,3.5,0.83,128.5,0.83,128.5,0.83,,,,,,,,,,,,,,,,,,,1.0,1,10.0,,0.0,0,,,0.56,1.3
3,,,,第1节,-3.5,0.83,3.5,0.83,128.5,0.83,128.5,0.83,,,,,,,,,,,,,,,,,,,1.0,1,10.0,,0.0,0,,,0.56,1.3
4,,,,第1节,-3.5,0.83,3.5,0.83,128.5,0.83,128.5,0.83,,,,,,,,,,,,,,,,,,,1.0,1,10.0,,0.0,0,,,0.56,1.3
5,,,,第1节,-3.5,0.83,3.5,0.83,128.5,0.83,128.5,0.83,,,,,,,,,,,,,,,,,,,1.0,1,10.0,,0.0,0,,,0.56,1.3
6,,,,第1节,-3.5,0.83,3.5,0.83,128.5,0.83,128.5,0.83,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,1.0,1,9.0,GD,58.0,0,,1087.0,0.56,1.3
7,,,,第1节,-3.5,0.83,3.5,0.83,128.5,0.83,128.5,0.83,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,1.0,1,9.0,GD,58.0,0,,21077.0,0.56,1.3
8,,,,第1节,-3.5,0.83,3.5,0.83,127.5,0.83,127.5,0.83,127.5,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,1.0,1,9.0,GD,58.0,0,,11077.0,0.56,1.3
9,,,,第1节,-3.5,0.83,3.5,0.83,127.5,0.83,127.5,0.83,127.5,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,1.0,1,9.0,GD,42.0,0,,11077.0,0.56,1.3
10,,,,第1节,-3.5,0.83,3.5,0.83,127.5,0.83,127.5,0.83,127.5,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,9.0,GD,42.0,0,,11077.0,0.56,1.3
11,,,,第1节,-3.5,0.83,3.5,0.83,127.5,0.83,127.5,0.83,127.5,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,9.0,GD,42.0,0,,11077.0,0.56,1.3
12,,,,第1节,-3.5,0.83,3.5,0.83,127.5,0.83,127.5,0.83,127.5,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,9.0,GD,42.0,0,,11077.0,0.56,1.3
13,,,,第1节,-3.5,0.83,3.5,0.83,127.5,0.83,127.5,0.83,127.5,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,9.0,GD,42.0,0,,11077.0,0.56,1.3
