,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,第1节,-3.5,0.83,3.5,0.83,166.5,0.83,166.5,0.83,,,,,,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,,,0.0,1.25
1,,,,第1节,-3.5,0.83,3.5,0.83,166.5,0.83,166.5,0.83,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,10.0,GD,0.0,1.0,20180703060006.0,1087.0,0.0,1.25
2,,,,第1节,-3.5,0.83,3.5,0.83,166.5,0.83,166.5,0.83,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,1.0,1,10.0,GD,0.0,1.0,20180703060006.0,1087.0,0.0,1.25
3,,,,第1节,-3.5,0.83,3.5,0.83,166.5,0.83,166.5,0.83,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,1.0,1,10.0,GD,0.0,1.0,20180703060006.0,1087.0,0.0,1.25
4,,,,第1节,-3.5,0.83,3.5,0.83,166.5,0.83,166.5,0.83,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,1.0,1,10.0,GD,0.0,1.0,20180703060006.0,1087.0,0.0,1.25
5,,,,第1节,-3.5,0.83,3.5,0.83,166.5,0.83,166.5,0.83,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,1.0,1,10.0,GD,0.0,1.0,20180703060006.0,1087.0,0.0,1.25
6,,,,第1节,-3.5,0.83,3.5,0.83,166.5,0.83,166.5,0.83,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,1.0,1,10.0,GD,0.0,1.0,20180703060006.0,1087.0,0.0,1.25
7,,,,第1节,-3.5,0.83,3.5,0.83,166.5,0.83,166.5,0.83,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,1.0,1,10.0,GD,0.0,1.0,20180703060006.0,1087.0,0.0,1.25
8,,,,第1节,-3.5,0.83,3.5,0.83,166.5,0.83,166.5,0.83,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,10.0,GD,0.0,1.0,20180703060006.0,1087.0,0.0,1.25
9,,,,第1节,-3.5,0.83,3.5,0.83,166.5,0.83,166.5,0.83,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,10.0,GD,0.0,1.0,20180703060006.0,1087.0,0.0,1.25
10,,,,第1节,-3.5,0.83,3.5,0.83,166.5,0.83,166.5,0.83,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,10.0,GD,0.0,1.0,20180703060006.0,1087.0,0.0,1.25
11,,,,第1节,-3.5,0.83,3.5,0.83,166.5,0.83,166.5,0.83,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,10.0,GD,0.0,1.0,20180703060006.0,1087.0,0.0,1.25
12,,,,第1节,-3.5,0.83,3.5,0.83,166.5,0.83,166.5,0.83,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,10.0,GD,0.0,1.0,20180703060006.0,1087.0,0.0,1.25
13,,,,第1节,-3.5,0.83,3.5,0.83,166.5,0.83,166.5,0.83,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,9.0,GD,59.0,1.0,20180703060007.0,11077.0,0.0,1.25
14,,,,第1节,-3.5,0.83,3.5,0.83,166.5,0.83,166.5,0.83,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,9.0,GD,59.0,1.0,20180703060007.0,21077.0,0.0,1.25
15,,,,第1节,-3.5,0.83,3.5,0.83,166.5,0.83,166.5,0.83,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,9.0,GD,57.0,1.0,20180703060009.0,21077.0,0.0,1.25
16,,,,第1节,-3.5,0.83,3.5,0.83,166.5,0.83,166.5,0.83,,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,2.0,0.0,1,9.0,GD,57.0,1.0,20180703060009.0,21074.0,0.0,1.25
17,,,,第1节,-3.5,0.83,3.5,0.83,166.5,0.83,166.5,0.83,,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1,9.0,GD,51.0,0.0,20180703060009.0,11077.0,0.0,1.25
18,,,,第1节,-3.5,0.83,3.5,0.83,166.5,0.83,166.5,0.83,,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1,9.0,GD,51.0,0.0,20180703060009.0,11077.0,0.0,1.25
19,,,,第1节,-3.5,0.83,3.5,0.83,166.5,0.83,166.5,0.83,,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1,9.0,GD,49.0,1.0,20180703060015.0,11077.0,0.0,1.25
20,,,,第1节,-3.5,0.87,4.5,0.8,166.5,0.83,166.5,0.83,4.5,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1,9.0,GD,49.0,1.0,20180703060015.0,11077.0,0.0,1.25
21,,,,第1节,-4.5,0.87,4.5,0.8,166.5,0.83,168.5,0.83,-4.5,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1,9.0,GD,49.0,1.0,20180703060015.0,11077.0,0.0,1.25
22,,,,第1节,-4.5,0.87,4.5,0.8,168.5,0.83,168.5,0.83,168.5,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1,9.0,GD,49.0,1.0,20180703060015.0,11077.0,0.0,1.25
23,,,,第1节,-4.5,0.87,4.5,0.8,168.5,0.83,168.5,0.83,168.5,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1,9.0,GD,48.0,1.0,20180703060017.0,11077.0,0.0,1.25
24,,,,第1节,-4.5,0.83,3.5,0.83,168.5,0.83,168.5,0.83,3.5,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1,9.0,GD,48.0,1.0,20180703060017.0,11077.0,0.0,1.25
25,,,,第1节,-3.5,0.83,3.5,0.83,168.5,0.83,168.5,0.83,-3.5,1.0,,,0.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1,9.0,GD,48.0,1.0,20180703060017.0,11074.0,0.0,1.25
26,,,,第1节,-3.5,0.83,3.5,0.83,168.5,0.83,168.5,0.83,-3.5,1.0,,,0.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1,9.0,GD,28.0,1.0,20180703060037.0,21077.0,0.0,1.25
27,,,,第1节,-3.5,0.83,3.5,0.83,168.5,0.83,168.5,0.83,-3.5,1.0,,,0.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1,9.0,GD,28.0,1.0,20180703060037.0,21077.0,0.0,1.25
28,,,,第1节,-3.5,0.83,3.5,0.83,168.5,0.83,168.5,0.83,-3.5,1.0,,,0.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1,9.0,GD,28.0,1.0,20180703060039.0,21077.0,0.0,1.25
29,,,,第1节,-3.5,0.83,3.5,0.83,168.5,0.83,168.5,0.83,-3.5,1.0,,,0.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1,9.0,GD,25.0,1.0,20180703060039.0,21077.0,0.0,1.25
30,,,,第1节,-3.5,0.83,3.5,0.83,167.5,0.83,167.5,0.83,167.5,1.0,,,0.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1,9.0,GD,25.0,1.0,20180703060039.0,21077.0,0.0,1.25
31,,,,第1节,-3.5,0.83,3.5,0.83,167.5,0.83,167.5,0.83,167.5,1.0,,,0.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1,9.0,GD,6.0,1.0,20180703060059.0,21077.0,0.56,1.3
32,,,,第1节,-3.5,0.83,3.5,0.83,167.5,0.83,167.5,0.83,167.5,1.0,,,0.0,1.0,1.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,1,9.0,GD,6.0,1.0,20180703060059.0,21075.0,0.56,1.3
33,,,,第1节,-3.5,0.83,3.5,0.83,167.5,0.83,167.5,0.83,167.5,1.0,,,0.0,1.0,1.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,1,9.0,GD,6.0,1.0,20180703060059.0,11077.0,0.56,1.3
34,,,,第1节,-3.5,0.83,4.5,0.83,167.5,0.83,167.5,0.83,4.5,1.0,,,0.0,1.0,1.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,1,9.0,GD,6.0,1.0,20180703060059.0,11077.0,0.56,1.3
35,,,,第1节,-4.5,0.83,4.5,0.83,167.5,0.83,170.5,0.83,-4.5,1.0,,,0.0,1.0,1.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,1,9.0,GD,6.0,1.0,20180703060059.0,11077.0,0.56,1.3
36,,,,第1节,-4.5,0.83,4.5,0.83,170.5,0.83,170.5,0.83,170.5,1.0,,,0.0,1.0,1.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,1,9.0,GD,6.0,1.0,20180703060059.0,11077.0,0.56,1.3
37,,,,第1节,-4.5,0.83,4.5,0.83,170.5,0.83,170.5,0.83,170.5,1.0,,,0.0,1.0,1.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,1,9.0,GD,5.0,1.0,20180703060102.0,11077.0,0.47,0.0
38,,,,第1节,-4.5,0.83,4.5,0.83,170.5,0.83,170.5,0.83,170.5,1.0,,,1.0,1.0,1.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,1,9.0,GD,5.0,1.0,20180703060102.0,11075.0,0.47,0.0
39,,,,第1节,-4.5,0.83,3.5,0.83,170.5,0.83,170.5,0.83,3.5,1.0,,,1.0,1.0,1.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,1,9.0,GD,5.0,1.0,20180703060102.0,21077.0,0.47,0.0
40,,,,第1节,-3.5,0.83,3.5,0.83,170.5,0.83,173.5,0.83,-3.5,1.0,,,1.0,1.0,1.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,1,9.0,GD,5.0,1.0,20180703060102.0,21077.0,0.47,0.0
41,,,,第1节,-3.5,0.83,3.5,0.83,173.5,0.83,173.5,0.83,173.5,1.0,,,1.0,1.0,1.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,1,9.0,GD,5.0,1.0,20180703060102.0,21077.0,0.47,0.0
42,,,,第1节,-3.5,0.83,3.5,0.83,173.5,0.83,173.5,0.83,173.5,1.0,,,1.0,1.0,1.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,1,9.0,GD,5.0,1.0,20180703060102.0,21077.0,0.47,0.0
43,,,,第1节,-3.5,0.83,3.5,0.83,173.5,0.83,173.5,0.83,173.5,1.0,,,1.0,1.0,1.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,1,8.0,GD,50.0,1.0,20180703060115.0,21077.0,0.47,0.0
44,,,,第1节,-3.5,0.83,3.5,0.83,173.5,0.83,173.5,0.83,173.5,1.0,,,1.0,1.0,1.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,1,8.0,GD,50.0,1.0,20180703060115.0,21077.0,0.56,1.3
45,,,,第1节,-3.5,0.83,3.5,0.83,173.5,0.83,173.5,0.83,173.5,1.0,,,1.0,1.0,1.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,1,8.0,GD,50.0,1.0,20180703060117.0,21077.0,0.56,1.3
46,,,,第1节,-3.5,0.83,3.5,0.83,173.5,0.83,173.5,0.83,173.5,1.0,,,1.0,1.0,1.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,1,8.0,GD,50.0,1.0,20180703060117.0,21077.0,0.56,1.3
47,,,,第1节,-3.5,0.83,3.5,0.83,173.5,0.83,173.5,0.83,173.5,1.0,,,1.0,1.0,1.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,1,8.0,GD,47.0,1.0,20180703060118.0,21077.0,0.56,1.3
48,,,,第1节,-3.5,0.83,3.5,0.83,173.5,0.83,173.5,0.83,173.5,1.0,,,1.0,1.0,1.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,1,8.0,GD,47.0,0.0,20180703060118.0,21077.0,0.56,1.3
49,,,,第1节,-3.5,0.83,3.5,0.83,173.5,0.83,173.5,0.83,173.5,1.0,,,1.0,1.0,1.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,1,8.0,GD,39.0,0.0,20180703060126.0,21077.0,0.56,1.3
50,,,,第1节,-3.5,0.83,3.5,0.83,173.5,0.83,173.5,0.83,173.5,1.0,,,1.0,1.0,1.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,1,8.0,GD,39.0,0.0,20180703060126.0,11086.0,0.56,1.3
51,,,,第1节,-3.5,0.83,3.5,0.83,172.5,0.83,172.5,0.83,172.5,1.0,,,1.0,1.0,1.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,1,8.0,GD,39.0,0.0,20180703060126.0,21077.0,0.56,1.3
52,,,,第1节,-3.5,0.83,3.5,0.83,172.5,0.83,172.5,0.83,172.5,1.0,,,1.0,1.0,1.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,1,8.0,GD,39.0,1.0,20180703060146.0,21077.0,0.56,1.3
53,,,,第1节,-3.5,0.83,3.5,0.83,172.5,0.83,172.5,0.83,172.5,1.0,,,1.0,1.0,1.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,1,8.0,GD,39.0,1.0,20180703060146.0,21077.0,0.56,1.3
54,,,,第1节,-3.5,0.83,3.5,0.83,172.5,0.83,172.5,0.83,172.5,1.0,,,1.0,1.0,1.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,1,8.0,GD,38.0,1.0,20180703060147.0,21077.0,0.56,1.3
55,,,,第1节,-3.5,0.83,3.5,0.83,172.5,0.83,172.5,0.83,172.5,1.0,,,1.0,1.0,1.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,1,8.0,GD,38.0,1.0,20180703060147.0,21077.0,0.56,1.3
56,,,,第1节,-3.5,0.83,3.5,0.83,172.5,0.83,172.5,0.83,172.5,1.0,,,1.0,1.0,1.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,1,8.0,GD,37.0,1.0,20180703060153.0,21077.0,0.56,1.3
57,,,,第1节,-3.5,0.83,3.5,0.83,172.5,0.83,172.5,0.83,172.5,1.0,,,1.0,1.0,1.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,1,8.0,GD,37.0,1.0,20180703060153.0,11077.0,0.56,1.3
58,,,,第1节,-3.5,0.83,3.5,0.83,172.5,0.83,172.5,0.83,172.5,1.0,,,1.0,1.0,1.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,1,8.0,GD,34.0,1.0,20180703060157.0,11077.0,0.56,1.3
59,,,,第1节,-3.5,0.83,3.5,0.83,172.5,0.83,172.5,0.83,172.5,1.0,,,1.0,1.0,1.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,1,8.0,GD,34.0,1.0,20180703060157.0,11077.0,0.0,1.25
60,,,,第1节,-3.5,0.83,3.5,0.83,172.5,0.83,172.5,0.83,172.5,1.0,,,1.0,1.0,1.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,1,8.0,GD,34.0,1.0,20180703060158.0,11077.0,0.0,1.25
61,,,,第1节,-3.5,0.83,3.5,0.83,170.5,0.83,170.5,0.83,170.5,1.0,,,1.0,1.0,1.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,1,8.0,GD,34.0,1.0,20180703060158.0,21077.0,0.0,1.25
62,,,,第1节,-3.5,0.83,3.5,0.83,170.5,0.83,170.5,0.83,170.5,1.0,,,1.0,1.0,1.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,1,8.0,GD,19.0,1.0,20180703060212.0,21077.0,0.0,1.25
63,,,,第1节,-3.5,0.83,3.5,0.83,170.5,0.83,170.5,0.83,170.5,1.0,,,1.0,1.0,1.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,5.0,5.0,1.0,1,8.0,GD,19.0,1.0,20180703060212.0,21077.0,0.56,1.3
64,,,,第1节,-3.5,0.83,3.5,0.83,170.5,0.83,170.5,0.83,170.5,1.0,,,1.0,1.0,1.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,5.0,5.0,1.0,1,8.0,GD,19.0,1.0,20180703060212.0,21077.0,0.56,1.3
65,,,,第1节,-3.5,0.83,3.5,0.83,170.5,0.83,170.5,0.83,170.5,1.0,,,1.0,1.0,1.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,5.0,5.0,1.0,1,8.0,GD,19.0,1.0,20180703060212.0,21077.0,0.56,1.3
66,,,,第1节,-3.5,0.83,3.5,0.83,170.5,0.83,170.5,0.83,170.5,1.0,,,1.0,1.0,1.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,5.0,5.0,1.0,1,8.0,GD,19.0,1.0,20180703060212.0,21077.0,0.56,1.3
67,,,,第1节,-3.5,0.83,3.5,0.83,170.5,0.83,170.5,0.83,170.5,1.0,,,1.0,1.0,1.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,5.0,5.0,1.0,1,8.0,GD,19.0,1.0,20180703060212.0,21077.0,0.56,1.3
68,,,,第1节,-3.5,0.83,3.5,0.83,170.5,0.83,170.5,0.83,170.5,1.0,,,1.0,1.0,1.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,5.0,5.0,1.0,1,8.0,GD,19.0,1.0,20180703060214.0,21077.0,0.56,1.3
69,,,,第1节,-3.5,0.83,3.5,0.83,170.5,0.83,170.5,0.83,170.5,1.0,,,1.0,1.0,1.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,1,8.0,GD,19.0,1.0,20180703060214.0,21077.0,0.56,1.3
70,,,,第1节,-3.5,0.83,3.5,0.83,170.5,0.83,170.5,0.83,170.5,1.0,,,1.0,1.0,1.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,1,8.0,GD,19.0,1.0,20180703060214.0,21077.0,0.56,1.3
71,,,,第1节,-3.5,0.83,3.5,0.83,170.5,0.83,170.5,0.83,170.5,1.0,,,1.0,1.0,1.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,1,8.0,GD,19.0,1.0,20180703060214.0,21077.0,0.56,1.3
72,,,,第1节,-3.5,0.83,3.5,0.83,170.5,0.83,170.5,0.83,170.5,1.0,,,1.0,1.0,1.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,1,8.0,GD,19.0,1.0,20180703060214.0,21077.0,0.56,1.3
73,,,,第1节,-3.5,0.83,3.5,0.83,170.5,0.83,170.5,0.83,170.5,1.0,,,1.0,1.0,1.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,1,8.0,GD,19.0,1.0,20180703060214.0,21077.0,0.56,1.3
74,,,,第1节,-3.5,0.83,3.5,0.83,170.5,0.83,170.5,0.83,170.5,1.0,,,1.0,1.0,1.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,8.0,GD,18.0,1.0,20180703060214.0,21077.0,0.56,1.3
75,,,,第1节,-3.5,0.83,3.5,0.83,170.5,0.83,170.5,0.83,170.5,1.0,,,1.0,1.0,1.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,8.0,GD,18.0,0.0,20180703060215.0,21077.0,0.56,1.3
76,,,,第1节,-3.5,0.83,3.5,0.83,170.5,0.83,170.5,0.83,170.5,1.0,,,1.0,1.0,1.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,8.0,GD,18.0,0.0,20180703060215.0,21077.0,0.56,1.3
77,,,,第1节,-3.5,0.83,3.5,0.83,170.5,0.83,170.5,0.83,170.5,1.0,,,1.0,1.0,1.0,1.0,0.0,0.0,5.0,5.0,2.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,8.0,GD,18.0,0.0,20180703060215.0,11086.0,0.56,1.3
78,,,,第1节,-3.5,0.83,3.5,0.83,170.5,0.83,170.5,0.83,170.5,1.0,,,1.0,1.0,1.0,1.0,0.0,0.0,5.0,5.0,2.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,8.0,GD,18.0,1.0,20180703060229.0,21077.0,0.0,0.0
79,,,,第1节,-3.5,0.83,3.5,0.83,169.5,0.83,169.5,0.83,169.5,1.0,,,1.0,1.0,1.0,1.0,0.0,0.0,5.0,5.0,2.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,8.0,GD,18.0,1.0,20180703060229.0,21077.0,0.0,0.0
80,,,,第1节,-3.5,0.83,3.5,0.83,169.5,0.83,169.5,0.83,169.5,1.0,,,1.0,1.0,1.0,1.0,0.0,0.0,5.0,5.0,2.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,8.0,GD,1.0,1.0,20180703060246.0,21077.0,0.0,0.0
81,,,,第1节,-3.5,0.83,3.5,0.83,169.5,0.83,169.5,0.83,169.5,1.0,,,1.0,1.0,1.0,1.0,0.0,0.0,5.0,5.0,2.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,8.0,GD,1.0,1.0,20180703060246.0,11077.0,0.56,1.3
82,,,,第1节,-3.5,0.83,3.5,0.83,169.5,0.83,169.5,0.83,169.5,1.0,,,1.0,1.0,1.0,1.0,0.0,0.0,5.0,5.0,2.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,8.0,GD,1.0,1.0,20180703060248.0,11077.0,0.56,1.3
83,,,,第1节,-3.5,0.83,3.5,0.83,169.5,0.83,169.5,0.83,169.5,1.0,,,1.0,1.0,1.0,1.0,0.0,0.0,5.0,5.0,2.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,8.0,GD,1.0,1.0,20180703060248.0,21077.0,0.56,1.3
84,,,,第1节,-3.5,0.83,3.5,0.83,169.5,0.83,169.5,0.83,169.5,1.0,,,1.0,1.0,1.0,1.0,0.0,0.0,5.0,5.0,2.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,7.0,GD,47.0,1.0,20180703060259.0,21077.0,0.56,1.3
85,,,,第1节,-3.5,0.83,3.5,0.83,168.5,0.83,168.5,0.83,168.5,1.0,,,1.0,1.0,1.0,1.0,0.0,0.0,5.0,5.0,2.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,7.0,GD,47.0,1.0,20180703060259.0,21077.0,0.56,1.3
86,,,,第1节,-3.5,0.83,3.5,0.83,168.5,0.83,168.5,0.83,168.5,1.0,,,1.0,1.0,1.0,1.0,0.0,0.0,5.0,5.0,2.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,7.0,GD,39.0,1.0,20180703060308.0,21077.0,0.0,0.0
87,,,,第1节,-3.5,0.83,3.5,0.83,167.5,0.83,167.5,0.83,167.5,1.0,,,1.0,1.0,1.0,1.0,0.0,0.0,5.0,5.0,2.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,7.0,GD,39.0,1.0,20180703060308.0,11077.0,0.0,0.0
88,,,,第1节,-3.5,0.83,3.5,0.83,167.5,0.83,167.5,0.83,167.5,1.0,,,1.0,1.0,1.0,1.0,0.0,0.0,5.0,5.0,2.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,7.0,GD,39.0,1.0,20180703060310.0,11077.0,0.56,1.3
89,,,,第1节,-3.5,0.83,3.5,0.83,166.5,0.83,166.5,0.83,166.5,1.0,,,1.0,1.0,1.0,1.0,0.0,0.0,5.0,5.0,2.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,7.0,GD,39.0,1.0,20180703060310.0,11077.0,0.56,1.3
90,,,,第1节,-3.5,0.83,3.5,0.83,166.5,0.83,166.5,0.83,166.5,1.0,,,1.0,1.0,1.0,1.0,0.0,0.0,5.0,5.0,2.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,7.0,GD,21.0,1.0,20180703060326.0,11077.0,0.56,1.3
91,,,,第1节,-3.5,0.83,3.5,0.83,166.5,0.83,166.5,0.83,166.5,1.0,,,1.0,1.0,2.0,1.0,0.0,0.0,5.0,5.0,2.0,0.0,0.0,0.0,7.0,5.0,0.0,1.0,7.0,GD,21.0,1.0,20180703060326.0,11074.0,0.56,1.3
92,,,,第1节,-3.5,0.83,3.5,0.83,166.5,0.83,166.5,0.83,166.5,1.0,,,1.0,1.0,2.0,1.0,0.0,0.0,5.0,5.0,2.0,0.0,0.0,0.0,5.0,7.0,0.0,1.0,7.0,GD,21.0,1.0,20180703060326.0,21077.0,0.56,1.3
