,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,第1节,7.5,0.83,-7.5,0.83,163.5,0.83,163.5,0.83,,,,,,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,0.0,0.0
1,,,,第1节,7.5,0.83,-7.5,0.83,163.5,0.83,163.5,0.83,,,,,,,,,,,,,,,,,,,1.0,1,10.0,0.0,0,,,0.0,0.0
2,,,,第1节,7.5,0.83,-7.5,0.83,163.5,0.83,163.5,0.83,,,,,,,,,,,,,,,,,,,1.0,1,10.0,0.0,0,,,0.0,0.0
3,,,,第1节,7.5,0.83,-7.5,0.83,163.5,0.83,163.5,0.83,,,,,,,,,,,,,,,,,,,1.0,1,10.0,0.0,0,,,0.0,0.0
4,,,,第1节,7.5,0.83,-7.5,0.83,163.5,0.83,163.5,0.83,,,,,,,,,,,,,,,,,,,1.0,1,10.0,0.0,0,,,0.0,0.0
5,,,,第1节,7.5,0.83,-7.5,0.83,163.5,0.83,163.5,0.83,,,,,,,,,,,,,,,,,,,1.0,1,10.0,0.0,0,,,0.0,0.0
6,,,,第1节,7.5,0.83,-7.5,0.83,163.5,0.83,163.5,0.83,,,,,,,,,,,,,,,,,,,1.0,1,10.0,0.0,0,,,0.0,0.0
7,,,,第1节,7.5,0.83,-7.5,0.83,163.5,0.83,163.5,0.83,,,,,,,,,,,,,,,,,,,1.0,1,10.0,0.0,0,,,0.0,0.0
8,,,,第1节,7.5,0.83,-7.5,0.83,163.5,0.83,163.5,0.83,,,,,,,,,,,,,,,,,,,1.0,1,10.0,0.0,0,,,0.0,0.0
9,,,,第1节,7.5,0.83,-7.5,0.83,163.5,0.83,163.5,0.83,,,,,,,,,,,,,,,,,,,1.0,1,10.0,0.0,0,,,0.0,0.0
10,,,,第1节,7.5,0.8,-6.5,0.87,163.5,0.83,163.5,0.83,-6.5,,,,,,,,,,,,,,,,,,1.0,1,10.0,0.0,0,,,0.0,0.0
11,,,,第1节,6.5,0.8,-6.5,0.87,163.5,0.83,163.5,0.83,6.5,,,,,,,,,,,,,,,,,,1.0,1,10.0,0.0,0,,,0.0,0.0
12,,,,第1节,6.5,0.8,-7.5,0.87,163.5,0.83,163.5,0.83,-7.5,,,,,,,,,,,,,,,,,,1.0,1,10.0,0.0,0,,,0.0,0.0
13,,,,第1节,7.5,0.8,-7.5,0.87,163.5,0.83,163.5,0.83,7.5,,,,,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,0.0,0.0
14,,,,第1节,7.5,0.87,-5.5,0.8,163.5,0.83,163.5,0.83,-5.5,,,,,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,0.0,0.0
15,,,,第1节,5.5,0.83,-5.5,0.83,163.5,0.83,163.5,0.83,5.5,,,,,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,0.0,0.0
16,,,,第1节,5.5,0.87,-3.5,0.8,163.5,0.83,163.5,0.83,-3.5,,,,,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,0.0,0.0
17,,,,第1节,3.5,0.83,-3.5,0.83,163.5,0.83,163.5,0.83,3.5,,,,,,,,,,,,,,,,,,1.0,1,10.0,0.0,0,,,0.0,0.0
18,,,,第1节,3.5,0.83,-3.5,0.83,163.5,0.83,163.5,0.83,3.5,,,,,,,,,,,,,,,,,,1.0,1,10.0,0.0,0,,,0.0,0.0
19,,,,第1节,3.5,0.83,-3.5,0.83,163.5,0.83,163.5,0.83,3.5,,,,,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,0.0,0.0
20,,,,第1节,3.5,0.87,-1.5,0.8,163.5,0.83,163.5,0.83,-1.5,,,,,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,0.0,0.0
21,,,,第1节,1.5,0.83,-1.5,0.83,163.5,0.83,163.5,0.83,1.5,,,,,,,,,,,,,,,,,,0.0,1,10.0,0.0,0,,,0.0,0.0
