,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,PG,S1_a,S1_h,S2_a,S2_h,S3,S3_a,S3_h,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
32,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
33,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
34,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
35,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
36,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
37,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
38,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
39,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
40,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
41,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
42,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
43,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
44,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
45,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
46,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
47,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
48,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
49,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
50,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
51,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
52,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
53,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
54,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
55,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
56,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
57,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
58,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
59,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
60,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
61,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
62,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
63,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
64,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
65,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
66,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
67,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
68,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
69,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
70,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
71,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
72,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
73,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
74,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
75,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
76,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
77,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
78,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
79,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
80,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
81,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
82,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
83,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
84,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
85,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
86,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
87,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
88,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
89,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
90,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
91,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
92,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
93,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
94,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
95,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
96,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
97,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
98,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
99,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
100,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
101,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
102,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
103,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
104,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
105,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
106,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
107,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
108,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
109,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
110,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
111,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
112,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
113,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
114,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
115,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
116,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
117,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
118,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
119,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
120,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
121,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
122,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
123,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
124,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
125,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
126,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
127,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
128,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
129,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
130,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
131,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
132,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
133,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
134,4.0,-7.5,0.0,7.5,0.0,1.0,,8,14,27,23,13.0,8,11,4,2,2.0,1,2,86.7,72.7,84.6,100.0,92,100,0,1,0,0.0,0.0,20180919184900.0,1084.0
