,AM,AS,ED,LM,PG,S1,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,,,,,6,10,,24,18,,17,15,,2,-1,,12,9,,70.8,53.6,83,83,0,1,5.0,0.0,0,20181107031438,11077
1,,,,,,,6,10,,24,18,,17,15,,2,-1,,12,9,,70.8,53.6,83,83,0,1,5.0,37.0,0,20181107031438,21077.0
2,,,,,,,6,10,,24,18,,17,15,,2,-1,,12,9,,70.8,53.6,83,83,0,1,5.0,31.0,1.0,20181107031507.0,21077.0
3,,,,,,,6,10,,24,18,,17,15,,2,-1,,12,9,,70.8,53.6,83,83,0,1,5.0,22.0,1.0,20181107031516.0,21077.0
4,,,,,,,6,10,,24,18,,17,15,,2,-1,,12,9,,70.8,53.6,83,83,0,1,5.0,14.0,1.0,20181107031524.0,21077.0
5,,,,,,,6,10,,24,18,,17,15,,2,-1,,12,9,,70.8,53.6,83,83,0,1,5.0,42.0,1.0,20181107031526.0,21095.0
6,,,,,,,6,10,,24,18,,17,15,,2,-1,,12,9,,70.8,53.6,83,83,0,1,5.0,42.0,1.0,20181107031526.0,21077.0
7,,,,,,,6,10,,24,18,,17,15,,2,-1,,12,9,,70.8,53.6,83,83,0,1,5.0,28.0,1.0,20181107031539.0,21077.0
8,,,,,,,6,10,,24,18,,17,15,,2,-1,,12,9,,70.8,53.6,83,83,0,1,5.0,28.0,0.0,20181107031539.0,21077.0
9,,,,,,,6,10,,24,18,,17,15,,2,-1,,12,9,,70.8,53.6,83,83,0,1,5.0,28.0,1.0,20181107031547.0,21077.0
10,,,,,,,6,10,,24,18,,17,15,,2,-1,,12,9,,70.8,53.6,83,83,0,1,5.0,19.0,1.0,20181107031555.0,21077.0
11,,,,,,,6,10,,24,18,,17,15,,2,-1,,12,9,,70.8,53.6,83,83,0,1,5.0,13.0,0.0,20181107031603.0,21077.0
12,44.0,5.0,,,,,6,10,,24,18,,17,15,,2,-1,,12,9,,70.8,53.6,83,83,0,1,5.0,13.0,0.0,20181107031631.0,11081.0
13,44.0,5.0,,,,,6,10,,24,18,,17,15,,2,-1,,12,9,,70.8,53.6,83,83,0,1,5.0,13.0,1.0,20181107031708.0,11081.0
14,44.0,5.0,,,,,6,10,,24,18,,17,15,,2,-1,,12,9,,70.8,53.6,83,83,0,1,5.0,7.0,1.0,20181107031713.0,21077.0
15,44.0,5.0,,,,,6,10,,24,18,,17,15,,2,-1,,12,9,,70.8,53.6,83,83,0,1,3.0,58.0,1.0,20181107031721.0,21077.0
16,44.0,5.0,,,,,6,10,,24,18,,17,15,,2,-1,,12,9,,70.8,53.6,83,83,0,1,3.0,54.0,1.0,20181107031726.0,21094.0
17,44.0,5.0,,,,,6,10,,24,18,,17,15,,2,-1,,12,9,,70.8,53.6,83,83,0,1,3.0,54.0,0.0,20181107031726.0,11077.0
18,44.0,5.0,,,,,6,10,,24,18,,17,15,,2,-1,,12,9,,70.8,53.6,83,83,0,1,3.0,54.0,1.0,20181107031737.0,11077.0
19,44.0,5.0,,,,,6,10,,24,18,,17,15,,2,-1,,12,9,,70.8,53.6,83,83,0,1,3.0,45.0,1.0,20181107031746.0,11077.0
20,44.0,5.0,,,,,6,10,,24,18,,17,15,,2,-1,,12,9,,70.8,53.6,83,83,0,1,3.0,41.0,1.0,20181107031751.0,11077.0
21,44.0,5.0,,,,,6,10,,24,18,,17,15,,2,-1,,12,9,,70.8,53.6,83,83,0,1,3.0,41.0,1.0,20181107031751.0,21077.0
22,44.0,5.0,,,,,6,10,,24,18,,17,15,,2,-1,,12,9,,70.8,53.6,83,83,0,1,3.0,32.0,1.0,20181107031759.0,21077.0
23,44.0,5.0,,,,,6,10,,24,18,,17,15,,2,-1,,12,9,,70.8,53.6,83,83,0,1,3.0,30.0,1.0,20181107031801.0,21094.0
24,44.0,5.0,,,,,6,10,,24,18,,17,15,,2,-1,,12,9,,70.8,53.6,83,83,0,1,3.0,30.0,0.0,20181107031802.0,11077.0
25,44.0,5.0,,,,,6,10,,24,18,,17,15,,2,-1,,12,9,,70.8,53.6,83,83,0,1,3.0,30.0,0.0,20181107031804.0,21077.0
26,44.0,5.0,,,,,6,10,,24,18,,17,15,,2,-1,,12,9,,70.8,53.6,83,83,0,1,3.0,30.0,1.0,20181107031828.0,21077.0
27,44.0,5.0,,,,,6,10,,24,18,,17,15,,2,-1,,12,9,,70.8,53.6,83,83,0,1,3.0,29.0,1.0,20181107031829.0,21077.0
28,44.0,5.0,,,,,6,10,,24,18,,17,15,,2,-1,,12,9,,70.8,53.6,83,83,0,1,3.0,21.0,1.0,20181107031837.0,21077.0
29,44.0,5.0,,,,,6,10,19.0,24,18,,17,15,,2,-1,,12,9,,70.8,53.6,83,83,0,1,3.0,21.0,1.0,20181107031837.0,11077.0
30,44.0,5.0,,,,,6,10,19.0,24,18,,17,15,,2,-1,,12,9,,70.8,53.6,83,83,0,1,3.0,6.0,1.0,20181107031852.0,11077.0
31,44.0,5.0,,,,,6,10,19.0,24,18,,17,15,,2,-1,,12,9,,70.8,53.6,83,83,0,1,2.0,58.0,1.0,20181107031900.0,11077.0
32,44.0,5.0,,,^,,6,10,26.0,24,18,,17,15,,2,-1,,12,9,,70.8,53.6,87,85,0,1,2.0,58.0,1.0,20181107031904.0,11074^21077
33,44.0,5.0,,,,,6,10,26.0,24,18,,17,15,,2,-1,,12,9,,70.8,53.6,87,85,0,1,2.0,58.0,1.0,20181107031904.0,21077.0
34,44.0,5.0,,,,,6,10,26.0,24,18,,17,15,,2,-1,,12,9,,70.8,53.6,87,85,0,1,2.0,38.0,1.0,20181107031920.0,21077.0
35,44.0,5.0,,,,,6,10,26.0,24,18,,17,15,,2,-1,,12,9,,70.8,53.6,87,85,0,1,2.0,38.0,1.0,20181107031921.0,21095.0
36,44.0,5.0,,,,,6,10,26.0,24,18,,17,15,,2,-1,,12,9,,70.8,53.6,87,85,0,1,2.0,29.0,1.0,20181107031929.0,11077.0
37,44.0,5.0,,,,,6,10,26.0,24,18,,17,15,,2,-1,,12,9,,70.8,53.6,87,85,0,1,2.0,29.0,1.0,20181107031929.0,21077.0
38,44.0,5.0,,,,,6,10,26.0,24,18,,17,15,,2,-1,,12,9,,70.8,53.6,87,85,0,1,2.0,12.0,1.0,20181107031945.0,21077.0
39,44.0,5.0,,,,,6,10,26.0,24,18,,17,15,,2,-1,,12,9,,70.8,53.6,87,85,0,1,2.0,4.0,1.0,20181107031954.0,21077.0
40,44.0,5.0,,,,,6,10,26.0,24,18,,17,15,,2,-1,,12,9,,70.8,53.6,87,85,0,1,2.0,1.0,1.0,20181107031957.0,21095.0
41,44.0,5.0,,,,,6,10,26.0,24,18,,17,15,,2,-1,,12,9,,70.8,53.6,87,85,0,1,2.0,1.0,1.0,20181107031958.0,11077.0
42,44.0,5.0,,,^,,6,10,27.0,24,18,,17,15,,2,-1,,12,9,,70.8,53.6,89,85,0,1,1.0,54.0,1.0,20181107032004.0,11074^21077
43,44.0,5.0,,,,,6,10,27.0,24,18,,17,15,,2,-1,,12,9,,70.8,53.6,89,85,0,1,1.0,52.0,0.0,20181107032006.0,21077.0
44,44.0,5.0,,,,,6,10,27.0,24,18,,17,15,-2.0,2,-1,,12,9,,70.8,53.6,89,85,0,1,1.0,52.0,0.0,20181107032013.0,21081.0
45,44.0,5.0,,,,,6,10,27.0,24,18,,17,15,-2.0,2,-1,,12,9,,70.8,53.6,89,85,0,1,1.0,52.0,1.0,20181107032217.0,21081.0
46,44.0,5.0,,,,,6,10,27.0,24,18,,17,15,-2.0,2,-1,,12,9,,70.8,53.6,89,85,0,1,1.0,45.0,0.0,20181107032223.0,21081.0
47,44.0,5.0,,,^,,6,10,27.0,24,18,,17,15,-2.0,2,-1,13.0,12,9,,70.8,53.6,89,85,0,1,1.0,45.0,0.0,20181107032225.0,11086^21077
48,44.0,5.0,,,1:2,,6,10,27.0,24,18,,17,15,-2.0,2,-1,13.0,12,9,,70.8,53.6,89,85,0,1,1.0,45.0,0.0,20181107032230.0,21078.0
49,44.0,5.0,,,1:2^2:2,,6,10,27.0,24,18,,17,15,-2.0,2,-1,13.0,12,9,51.7,70.8,53.6,89,85,0,1,1.0,45.0,0.0,20181107032313.0,21080^21078
50,44.0,5.0,,,2:2^,,6,10,27.0,24,18,,17,15,-2.0,2,-1,13.0,12,9,50.0,70.8,53.6,89,85,0,1,1.0,45.0,1.0,20181107032327.0,21080^11077
51,44.0,5.0,,,,,6,10,27.0,24,18,,17,15,-2.0,2,-1,13.0,12,9,50.0,70.8,53.6,89,85,0,1,1.0,44.0,1.0,20181107032329.0,21077.0
52,44.0,5.0,,,,,6,10,27.0,24,18,,17,15,-2.0,2,-1,13.0,12,9,50.0,70.8,53.6,89,85,0,1,1.0,43.0,0.0,20181107032329.0,21077.0
53,44.0,5.0,,,^,,6,10,27.0,24,18,,17,15,-2.0,2,-1,14.0,12,9,50.0,70.8,53.6,89,85,0,1,1.0,43.0,0.0,20181107032338.0,11086^21077
54,44.0,5.0,,,1:2,,6,10,27.0,24,18,,17,15,-2.0,2,-1,14.0,12,9,50.0,70.8,53.6,89,85,0,1,1.0,43.0,0.0,20181107032349.0,21078.0
55,44.0,5.0,,,1:2^2:2,,6,10,27.0,24,18,16.0,17,15,-2.0,2,-1,14.0,12,9,51.6,70.8,53.6,89,86,0,1,1.0,43.0,0.0,20181107032412.0,21079^21078
56,44.0,5.0,,,2:2^,,6,10,27.0,24,18,17.0,17,15,-2.0,2,-1,14.0,12,9,53.1,70.8,53.6,89,87,0,1,1.0,43.0,0.0,20181107032435.0,21079^11077
57,44.0,5.0,,,,,6,10,27.0,24,18,17.0,17,15,-2.0,2,-1,14.0,12,9,53.1,70.8,53.6,89,87,0,1,1.0,43.0,1.0,20181107032435.0,11077.0
58,44.0,5.0,,,,,6,10,27.0,24,18,17.0,17,15,-2.0,2,-1,14.0,12,9,53.1,70.8,53.6,89,87,0,1,1.0,34.0,1.0,20181107032443.0,11077.0
59,44.0,5.0,,,,,6,10,27.0,24,18,17.0,17,15,-2.0,2,-1,14.0,12,9,53.1,70.8,53.6,89,87,0,1,1.0,26.0,1.0,20181107032452.0,11077.0
60,44.0,5.0,,,,,6,10,27.0,24,18,17.0,17,15,-2.0,2,-1,14.0,12,9,53.1,70.8,53.6,89,87,0,1,1.0,18.0,1.0,20181107032500.0,11077.0
61,44.0,5.0,,,,,6,10,27.0,24,18,17.0,17,15,-2.0,2,-1,14.0,12,9,53.1,70.8,53.6,89,87,0,1,1.0,18.0,0.0,20181107032500.0,11077.0
62,44.0,5.0,,,^,,6,10,27.0,24,18,17.0,17,15,-2.0,2,-1,14.0,12,9,53.1,70.8,53.6,89,87,0,1,1.0,18.0,0.0,20181107032505.0,11086^21077
63,44.0,5.0,,,,,6,10,27.0,24,18,17.0,17,15,-2.0,2,-1,14.0,12,9,53.1,70.8,53.6,89,87,0,1,1.0,18.0,1.0,20181107032529.0,21077.0
64,44.0,5.0,,,,,6,10,27.0,24,18,17.0,17,15,-2.0,2,-1,14.0,12,9,53.1,70.8,53.6,89,87,0,1,1.0,9.0,1.0,20181107032537.0,21077.0
65,44.0,5.0,,,,,6,10,27.0,24,18,17.0,17,15,-2.0,2,-1,14.0,12,9,53.1,70.8,53.6,89,87,0,1,1.0,1.0,1.0,20181107032546.0,21077.0
66,44.0,5.0,,,,,6,10,20.0,24,18,17.0,17,15,-2.0,2,-1,14.0,12,9,53.1,70.8,53.6,89,87,0,1,1.0,1.0,1.0,20181107032546.0,11077.0
67,44.0,5.0,,,,,6,10,20.0,24,18,17.0,17,15,-2.0,2,-1,14.0,12,9,53.1,70.8,53.6,89,87,0,1,0.0,52.0,1.0,20181107032554.0,11077.0
68,44.0,5.0,,,,,6,10,20.0,24,18,17.0,17,15,-2.0,2,-1,14.0,12,9,53.1,70.8,53.6,89,87,0,1,0.0,44.0,1.0,20181107032603.0,11077.0
69,44.0,5.0,,,,,6,10,20.0,24,18,17.0,17,15,-2.0,2,-1,14.0,12,9,53.1,70.8,53.6,89,87,0,1,0.0,36.0,1.0,20181107032611.0,11077.0
70,44.0,5.0,,,,,6,10,20.0,24,18,17.0,17,15,-2.0,2,-1,14.0,12,9,53.1,70.8,53.6,89,87,0,1,0.0,29.0,1.0,20181107032617.0,11095.0
71,44.0,5.0,,,,,6,10,20.0,24,18,17.0,17,15,-2.0,2,-1,14.0,12,9,53.1,70.8,53.6,89,87,0,1,0.0,20.0,1.0,20181107032626.0,21077.0
