,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,第1节,-16.5,0.83,16.5,0.83,140.5,0.83,140.5,0.83,,,,,0.0,0.0,1.0,3.0,1.0,3.0,5.0,5.0,5.0,1.0,50.0,75.0,3.0,9.0,0.0,1,4.0,40.0,0,,21077,0.0,0.0
1,,,,第1节,-16.5,0.83,16.5,0.83,140.5,0.83,140.5,0.83,,,,,0.0,0.0,1.0,3.0,1.0,3.0,5.0,5.0,5.0,1.0,50.0,75.0,3.0,9.0,0.0,1,4.0,14.0,0,,21077,0.0,0.0
2,,,,第1节,-16.5,0.83,15.5,0.83,140.5,0.83,140.5,0.83,15.5,,,,0.0,0.0,1.0,3.0,1.0,3.0,5.0,5.0,5.0,1.0,50.0,75.0,3.0,9.0,0.0,1,4.0,14.0,0,,11077.0,0.0,0.0
3,,,,第1节,-15.5,0.83,15.5,0.83,140.5,0.83,138.5,0.83,-15.5,,,,0.0,0.0,1.0,3.0,1.0,3.0,5.0,5.0,5.0,1.0,50.0,75.0,3.0,9.0,0.0,1,4.0,14.0,0,,11077.0,0.0,0.0
4,,,,第1节,-15.5,0.83,15.5,0.83,138.5,0.83,138.5,0.83,138.5,,,,0.0,0.0,1.0,3.0,1.0,3.0,5.0,5.0,5.0,1.0,50.0,75.0,3.0,9.0,0.0,1,4.0,14.0,0,,11077.0,0.0,0.0
5,,,,第1节,-15.5,0.83,15.5,0.83,138.5,0.83,138.5,0.83,138.5,,,,0.0,0.0,1.0,3.0,1.0,3.0,5.0,5.0,5.0,1.0,50.0,75.0,3.0,9.0,0.0,1,3.0,59.0,0,,11077.0,0.0,0.0
6,,,,第1节,-15.5,0.83,15.5,0.83,138.5,0.83,138.5,0.83,138.5,,,,0.0,0.0,1.0,3.0,1.0,3.0,5.0,5.0,5.0,2.0,50.0,75.0,3.0,9.0,0.0,1,3.0,59.0,0,,21086.0,0.0,0.0
7,,,,第1节,-15.5,0.83,15.5,0.83,137.5,0.83,137.5,0.83,137.5,,,,0.0,0.0,1.0,3.0,1.0,3.0,5.0,5.0,5.0,2.0,50.0,75.0,3.0,9.0,0.0,1,3.0,59.0,0,,11077.0,0.0,0.0
8,,,,第1节,-15.5,0.83,15.5,0.83,137.5,0.83,137.5,0.83,137.5,,,,1.0,0.0,1.0,3.0,1.0,3.0,5.0,5.0,5.0,2.0,50.0,75.0,6.0,9.0,0.0,1,3.0,59.0,0,,11075.0,0.0,0.0
9,,,,第1节,-15.5,0.87,13.5,0.8,137.5,0.83,137.5,0.83,13.5,,,,1.0,0.0,1.0,3.0,1.0,3.0,5.0,5.0,5.0,2.0,50.0,75.0,6.0,9.0,0.0,1,3.0,59.0,0,,21077.0,0.0,0.0
10,,,,第1节,-13.5,0.87,13.5,0.8,137.5,0.83,140.5,0.83,-13.5,,,,1.0,0.0,1.0,3.0,1.0,3.0,5.0,5.0,5.0,2.0,50.0,75.0,6.0,9.0,0.0,1,3.0,59.0,0,,21077.0,0.0,0.0
11,,,,第1节,-13.5,0.87,13.5,0.8,140.5,0.83,140.5,0.83,140.5,,,,1.0,0.0,1.0,3.0,1.0,3.0,5.0,5.0,5.0,2.0,50.0,75.0,6.0,9.0,0.0,1,3.0,59.0,0,,21077.0,0.0,0.0
12,,,,第1节,-13.5,0.87,13.5,0.8,140.5,0.83,140.5,0.83,140.5,,,,1.0,0.0,1.0,3.0,1.0,3.0,5.0,5.0,5.0,2.0,50.0,75.0,9.0,6.0,0.0,1,3.0,42.0,0,,21077.0,0.0,0.0
13,,,,第1节,-13.5,0.87,13.5,0.8,140.5,0.83,140.5,0.83,140.5,,,,1.0,0.0,1.0,3.0,1.0,3.0,5.0,5.0,5.0,2.0,50.0,75.0,9.0,6.0,0.0,1,3.0,42.0,0,,21077.0,0.0,0.0
14,,,,第1节,-13.5,0.87,13.5,0.8,140.5,0.83,140.5,0.83,140.5,,,,1.0,0.0,1.0,3.0,1.0,3.0,5.0,5.0,5.0,2.0,50.0,75.0,9.0,6.0,0.0,1,3.0,41.0,0,,21077.0,0.0,0.0
15,,,,第1节,-13.5,0.87,13.5,0.8,140.5,0.83,140.5,0.83,140.5,,,,1.0,0.0,1.0,3.0,1.0,3.0,5.0,5.0,5.0,2.0,50.0,75.0,9.0,6.0,0.0,1,3.0,41.0,0,,21077.0,0.0,0.0
16,,,,第1节,-13.5,0.87,13.5,0.8,140.5,0.83,140.5,0.83,140.5,,,,1.0,0.0,1.0,3.0,1.0,3.0,5.0,5.0,5.0,2.0,50.0,75.0,9.0,6.0,0.0,1,3.0,27.0,0,,21077.0,0.0,0.0
17,,,,第1节,-13.5,0.83,12.5,0.83,140.5,0.83,140.5,0.83,12.5,,,,1.0,0.0,1.0,3.0,1.0,3.0,5.0,5.0,5.0,2.0,50.0,75.0,9.0,6.0,0.0,1,3.0,27.0,0,,11077.0,0.0,0.0
18,,,,第1节,-12.5,0.83,12.5,0.83,140.5,0.83,138.5,0.83,-12.5,,,,1.0,0.0,1.0,3.0,1.0,3.0,5.0,5.0,5.0,2.0,50.0,75.0,9.0,6.0,0.0,1,3.0,27.0,0,,11077.0,0.0,0.0
19,,,,第1节,-12.5,0.83,12.5,0.83,138.5,0.83,138.5,0.83,138.5,,,,1.0,0.0,1.0,3.0,1.0,3.0,5.0,5.0,5.0,2.0,50.0,75.0,9.0,6.0,0.0,1,3.0,27.0,0,,11077.0,0.0,0.0
20,,,,第1节,-12.5,0.83,12.5,0.83,138.5,0.83,138.5,0.83,138.5,,,,1.0,0.0,1.0,3.0,1.0,3.0,5.0,5.0,5.0,2.0,50.0,75.0,9.0,6.0,0.0,1,3.0,5.0,0,,11077.0,0.0,0.0
21,,,,第1节,-12.5,0.83,12.5,0.83,138.5,0.83,138.5,0.83,138.5,,,,1.0,0.0,2.0,3.0,1.0,3.0,5.0,5.0,5.0,2.0,50.0,75.0,8.0,6.0,0.0,1,3.0,5.0,0,,11074.0,0.0,0.0
22,,,,第1节,-12.5,0.83,11.5,0.83,138.5,0.83,138.5,0.83,11.5,,,,1.0,0.0,2.0,3.0,1.0,3.0,5.0,5.0,5.0,2.0,50.0,75.0,8.0,6.0,0.0,1,3.0,5.0,0,,21077.0,0.0,0.0
23,,,,第1节,-11.5,0.83,11.5,0.83,138.5,0.83,139.5,0.83,-11.5,,,,1.0,0.0,2.0,3.0,1.0,3.0,5.0,5.0,5.0,2.0,50.0,75.0,8.0,6.0,0.0,1,3.0,5.0,0,,21077.0,0.0,0.0
24,,,,第1节,-11.5,0.83,11.5,0.83,139.5,0.83,139.5,0.83,139.5,,,,1.0,0.0,2.0,3.0,1.0,3.0,5.0,5.0,5.0,2.0,50.0,75.0,8.0,6.0,0.0,1,3.0,5.0,0,,21077.0,0.0,0.0
25,,,,第1节,-11.5,0.83,11.5,0.83,139.5,0.83,139.5,0.83,139.5,,,,1.0,0.0,2.0,3.0,1.0,3.0,5.0,5.0,5.0,2.0,50.0,75.0,9.0,8.0,0.0,1,3.0,5.0,0,,21077.0,0.0,0.0
26,,,,第1节,-11.5,0.83,11.5,0.83,139.5,0.83,139.5,0.83,139.5,,,,1.0,0.0,2.0,3.0,1.0,3.0,5.0,5.0,5.0,3.0,50.0,75.0,9.0,8.0,0.0,1,3.0,5.0,0,,21086.0,0.0,0.0
27,,,,第1节,-11.5,0.83,10.5,0.83,139.5,0.83,139.5,0.83,10.5,,,,1.0,0.0,2.0,3.0,1.0,3.0,5.0,5.0,5.0,3.0,50.0,75.0,9.0,8.0,0.0,1,3.0,5.0,0,,11077.0,0.0,0.0
28,,,,第1节,-10.5,0.83,10.5,0.83,139.5,0.83,140.5,0.83,-10.5,,,,1.0,0.0,2.0,3.0,1.0,3.0,5.0,5.0,5.0,3.0,50.0,75.0,9.0,8.0,0.0,1,3.0,5.0,0,,11077.0,0.0,0.0
29,,,,第1节,-10.5,0.83,10.5,0.83,140.5,0.83,140.5,0.83,140.5,,,,1.0,0.0,2.0,3.0,1.0,3.0,5.0,5.0,5.0,3.0,50.0,75.0,9.0,8.0,0.0,1,3.0,5.0,0,,11077.0,0.0,0.0
30,,,,第1节,-10.5,0.83,10.5,0.83,140.5,0.83,140.5,0.83,140.5,,,,1.0,0.0,2.0,3.0,1.0,3.0,5.0,5.0,5.0,3.0,50.0,75.0,9.0,8.0,1.0,1,3.0,5.0,0,,11077.0,0.0,0.0
31,,,,第1节,-10.5,0.83,10.5,0.83,140.5,0.83,140.5,0.83,140.5,,,,1.0,0.0,2.0,3.0,1.0,3.0,5.0,5.0,5.0,3.0,50.0,75.0,9.0,8.0,1.0,1,3.0,5.0,0,,11077.0,0.0,0.0
32,,,,第1节,-10.5,0.83,10.5,0.83,140.5,0.83,140.5,0.83,140.5,,,,1.0,0.0,2.0,3.0,1.0,3.0,5.0,5.0,5.0,3.0,50.0,75.0,9.0,8.0,1.0,1,3.0,5.0,0,,11077.0,0.0,0.0
33,,,,第1节,-10.5,0.83,10.5,0.83,140.5,0.83,140.5,0.83,140.5,,,,1.0,0.0,2.0,3.0,1.0,3.0,5.0,5.0,5.0,3.0,50.0,75.0,9.0,8.0,1.0,1,3.0,5.0,0,,11077.0,0.0,0.0
34,,,,第1节,-10.5,0.83,10.5,0.83,140.5,0.83,140.5,0.83,140.5,,,,1.0,0.0,2.0,3.0,1.0,3.0,5.0,5.0,5.0,3.0,50.0,75.0,9.0,8.0,1.0,1,3.0,5.0,0,,11077.0,0.0,0.0
35,,,,第1节,-10.5,0.83,10.5,0.83,140.5,0.83,140.5,0.83,140.5,,1:1,,1.0,0.0,2.0,3.0,1.0,3.0,5.0,5.0,5.0,3.0,50.0,75.0,9.0,8.0,1.0,1,3.0,5.0,0,,11078.0,0.0,0.0
36,,,,第1节,-10.5,0.83,10.5,0.83,140.5,0.83,140.5,0.83,140.5,,1:1,,1.0,0.0,2.0,3.0,1.0,3.0,5.0,5.0,5.0,3.0,50.0,75.0,9.0,8.0,0.0,1,3.0,5.0,0,,11078.0,0.0,0.0
37,,,,第1节,-10.5,0.83,10.5,0.83,140.5,0.83,140.5,0.83,140.5,,1:1,,1.0,0.0,2.0,3.0,1.0,3.0,5.0,5.0,5.0,3.0,50.0,75.0,9.0,8.0,0.0,1,3.0,5.0,0,,11078.0,0.0,0.0
38,,,,第1节,-10.5,0.83,10.5,0.83,140.5,0.83,140.5,0.83,140.5,,1:1,,1.0,0.0,2.0,3.0,1.0,3.0,5.0,5.0,5.0,3.0,50.0,75.0,9.0,8.0,0.0,1,3.0,5.0,0,,11078.0,0.0,0.0
39,,,,第1节,-10.5,0.83,10.5,0.83,140.5,0.83,140.5,0.83,140.5,,1:1,,1.0,0.0,2.0,3.0,1.0,3.0,5.0,5.0,5.0,3.0,50.0,75.0,9.0,8.0,0.0,1,3.0,5.0,0,,11078.0,0.0,0.0
40,,,,第1节,-10.5,0.83,10.5,0.83,140.5,0.83,140.5,0.83,140.5,,1:1,,1.0,0.0,2.0,3.0,1.0,3.0,5.0,5.0,5.0,3.0,50.0,75.0,9.0,8.0,0.0,1,3.0,5.0,0,,11078.0,0.0,0.0
41,,,,第1节,-10.5,0.83,10.5,0.83,140.5,0.83,140.5,0.83,140.5,,1:1,,1.0,0.0,2.0,3.0,1.0,3.0,5.0,5.0,5.0,3.0,50.0,75.0,9.0,9.0,0.0,1,2.0,51.0,0,,11078.0,0.0,0.0
42,,,,第1节,-10.5,0.8,9.5,0.87,140.5,0.83,140.5,0.83,9.5,,1:1,,1.0,0.0,2.0,3.0,1.0,3.0,5.0,5.0,5.0,3.0,50.0,75.0,9.0,9.0,0.0,1,2.0,51.0,0,,11077.0,0.0,0.0
43,,,,第1节,-9.5,0.8,9.5,0.87,140.5,0.83,140.5,0.83,-9.5,,1:1,,1.0,0.0,2.0,3.0,1.0,3.0,5.0,5.0,5.0,3.0,50.0,75.0,9.0,9.0,0.0,1,2.0,23.0,0,,21077.0,0.0,0.0
44,,,,第1节,-9.5,0.8,9.5,0.87,140.5,0.83,140.5,0.83,-9.5,,1:1,,1.0,0.0,2.0,3.0,1.0,3.0,5.0,5.0,5.0,3.0,50.0,75.0,9.0,9.0,0.0,1,2.0,23.0,0,,21077.0,0.0,0.0
45,,,,第1节,-9.5,0.8,9.5,0.87,140.5,0.83,140.5,0.83,-9.5,,1:1,,1.0,0.0,2.0,3.0,1.0,3.0,5.0,5.0,5.0,3.0,50.0,75.0,9.0,9.0,0.0,1,2.0,4.0,0,,21077.0,0.0,0.0
46,,,,第1节,-9.5,0.8,9.5,0.87,140.5,0.83,140.5,0.83,-9.5,,1:1,,1.0,1.0,2.0,3.0,1.0,3.0,5.0,5.0,5.0,3.0,50.0,75.0,9.0,12.0,0.0,1,2.0,4.0,0,,21075.0,0.0,0.0
47,,,,第1节,-9.5,0.8,9.5,0.87,140.5,0.83,140.5,0.83,-9.5,,1:1,,1.0,1.0,2.0,3.0,1.0,3.0,5.0,5.0,5.0,3.0,50.0,75.0,12.0,9.0,0.0,1,2.0,4.0,0,,11077.0,0.0,0.0
48,,,,第1节,-9.5,0.8,11.5,0.87,140.5,0.83,140.5,0.83,11.5,,1:1,,1.0,1.0,2.0,3.0,1.0,3.0,5.0,5.0,5.0,3.0,50.0,75.0,12.0,9.0,0.0,1,2.0,4.0,0,,11077.0,0.0,0.0
49,,,,第1节,-11.5,0.8,11.5,0.87,140.5,0.83,140.5,0.83,-11.5,,1:1,,1.0,1.0,2.0,3.0,1.0,3.0,5.0,5.0,5.0,3.0,50.0,75.0,12.0,9.0,0.0,1,1.0,59.0,0,,11077.0,0.0,0.0
50,,,,第1节,-11.5,0.8,11.5,0.87,140.5,0.83,140.5,0.83,-11.5,,1:1,,1.0,1.0,3.0,3.0,1.0,3.0,5.0,5.0,5.0,3.0,50.0,75.0,11.0,9.0,0.0,1,1.0,59.0,0,,11074.0,0.0,0.0
51,,,,第1节,-11.5,0.8,11.5,0.87,140.5,0.83,140.5,0.83,-11.5,,1:1,,1.0,1.0,3.0,3.0,1.0,3.0,5.0,5.0,5.0,3.0,50.0,75.0,12.0,11.0,0.0,1,1.0,59.0,0,,21077.0,0.0,0.0
52,,,,第1节,-11.5,0.8,11.5,0.87,140.5,0.83,140.5,0.83,-11.5,,1:1,,1.0,1.0,3.0,3.0,1.0,3.0,5.0,5.0,5.0,3.0,50.0,75.0,12.0,11.0,0.0,1,1.0,45.0,0,,21077.0,0.0,0.0
53,,,,第1节,-11.5,0.83,10.5,0.83,140.5,0.83,140.5,0.83,10.5,,1:1,,1.0,1.0,3.0,3.0,1.0,3.0,5.0,5.0,5.0,3.0,50.0,75.0,12.0,11.0,0.0,1,1.0,45.0,0,,21077.0,0.0,0.0
54,,,,第1节,-10.5,0.83,10.5,0.83,140.5,0.83,140.5,0.83,-10.5,,1:1,,1.0,1.0,3.0,3.0,1.0,3.0,5.0,5.0,5.0,3.0,50.0,75.0,12.0,11.0,0.0,1,1.0,42.0,0,,21077.0,0.0,0.0
55,,,,第1节,-10.5,0.8,9.5,0.87,140.5,0.83,140.5,0.83,9.5,,1:1,,1.0,1.0,3.0,3.0,1.0,3.0,5.0,5.0,5.0,3.0,50.0,75.0,12.0,11.0,0.0,1,1.0,42.0,0,,11077.0,0.0,0.0
56,,,,第1节,-9.5,0.8,9.5,0.87,140.5,0.83,140.5,0.83,-9.5,,1:1,,1.0,1.0,3.0,3.0,1.0,3.0,5.0,5.0,5.0,3.0,50.0,75.0,12.0,11.0,0.0,1,1.0,27.0,0,,11077.0,0.0,0.0
57,,,,第1节,-9.5,0.8,9.5,0.87,140.5,0.83,140.5,0.83,-9.5,,1:1,,1.0,1.0,4.0,3.0,1.0,3.0,5.0,5.0,5.0,3.0,50.0,75.0,13.0,11.0,0.0,1,1.0,27.0,0,,11074.0,0.0,0.0
58,,,,第1节,-9.5,0.8,9.5,0.87,140.5,0.83,140.5,0.83,-9.5,,1:1,,1.0,1.0,4.0,3.0,1.0,3.0,5.0,5.0,5.0,3.0,50.0,75.0,12.0,13.0,0.0,1,1.0,24.0,0,,21077.0,0.0,0.0
59,,,,第1节,-9.5,0.83,8.5,0.83,140.5,0.83,140.5,0.83,8.5,,1:1,,1.0,1.0,4.0,3.0,1.0,3.0,5.0,5.0,5.0,3.0,50.0,75.0,12.0,13.0,0.0,1,1.0,24.0,0,,21077.0,0.0,0.0
60,,,,第1节,-8.5,0.83,8.5,0.83,140.5,0.83,140.5,0.83,-8.5,,1:1,,1.0,1.0,4.0,3.0,1.0,3.0,5.0,5.0,5.0,3.0,50.0,75.0,12.0,13.0,0.0,1,1.0,23.0,0,,21077.0,0.0,0.0
61,44.0,5.0,,第1节,-8.5,0.83,8.5,0.83,140.5,0.83,140.5,0.83,-8.5,,1:1,,1.0,1.0,4.0,3.0,1.0,3.0,5.0,4.0,5.0,3.0,50.0,75.0,12.0,13.0,0.0,1,1.0,23.0,0,,21081.0,0.0,0.0
62,44.0,5.0,,第1节,-8.5,0.83,8.5,0.83,140.5,0.83,140.5,0.83,-8.5,,1:1,,1.0,1.0,4.0,3.0,1.0,3.0,5.0,3.0,5.0,3.0,50.0,75.0,12.0,13.0,0.0,1,1.0,8.0,0,,21077.0,0.0,0.0
63,44.0,5.0,,第1节,-8.5,0.83,8.5,0.83,140.5,0.83,140.5,0.83,-8.5,,1:1,,1.0,1.0,4.0,4.0,1.0,3.0,5.0,3.0,5.0,3.0,50.0,75.0,12.0,14.0,0.0,1,1.0,8.0,0,,21074.0,0.0,0.0
64,44.0,5.0,,第1节,-8.5,0.8,9.5,0.87,140.5,0.83,140.5,0.83,9.5,,1:1,,1.0,1.0,4.0,4.0,1.0,3.0,5.0,3.0,5.0,3.0,50.0,75.0,12.0,14.0,0.0,1,1.0,8.0,0,,11077.0,0.0,0.0
65,44.0,5.0,,第1节,-9.5,0.8,9.5,0.87,140.5,0.83,140.5,0.83,-9.5,,1:1,,1.0,1.0,4.0,4.0,1.0,3.0,5.0,3.0,5.0,3.0,50.0,75.0,14.0,13.0,0.0,1,1.0,8.0,0,,11077.0,0.0,0.0
66,44.0,5.0,,第1节,-9.5,0.8,9.5,0.87,140.5,0.83,140.5,0.83,-9.5,,1:1,,1.0,1.0,4.0,4.0,1.0,3.0,5.0,3.0,5.0,3.0,50.0,75.0,14.0,13.0,0.0,1,1.0,4.0,0,,11077.0,0.0,0.0
67,44.0,5.0,,第1节,-9.5,0.8,9.5,0.87,140.5,0.83,140.5,0.83,-9.5,,1:1,,1.0,1.0,4.0,4.0,1.0,3.0,5.0,3.0,5.0,3.0,50.0,75.0,14.0,13.0,0.0,1,0.0,4.0,0,,21077.0,0.0,0.0
68,44.0,5.0,,第1节,-9.5,0.8,9.5,0.87,140.5,0.83,140.5,0.83,-9.5,,1:1,,1.0,1.0,4.0,4.0,1.0,3.0,5.0,3.0,5.0,3.0,50.0,75.0,14.0,13.0,0.0,1,0.0,42.0,0,,21077.0,0.0,0.0
69,44.0,5.0,,第1节,-9.5,0.8,9.5,0.87,140.5,0.83,140.5,0.83,-9.5,,1:1,,1.0,1.0,4.0,4.0,1.0,3.0,5.0,3.0,5.0,3.0,50.0,75.0,14.0,13.0,0.0,1,0.0,42.0,0,,21077.0,0.0,0.0
70,44.0,5.0,,第1节,-9.5,0.8,9.5,0.87,140.5,0.83,140.5,0.83,-9.5,,1:1,,1.0,1.0,4.0,4.0,1.0,3.0,5.0,3.0,5.0,3.0,50.0,75.0,14.0,13.0,0.0,1,0.0,26.0,0,,21077.0,0.0,0.0
71,44.0,5.0,,第1节,-9.5,0.8,9.5,0.87,140.5,0.83,140.5,0.83,-9.5,,1:1,,1.0,1.0,4.0,4.0,1.0,3.0,5.0,3.0,6.0,3.0,50.0,75.0,14.0,13.0,0.0,1,0.0,26.0,0,,11086.0,0.0,0.0
72,44.0,5.0,,第1节,-9.5,0.83,9.5,0.83,140.5,0.83,140.5,0.83,-9.5,,1:1,,1.0,1.0,4.0,4.0,1.0,3.0,5.0,3.0,6.0,3.0,50.0,75.0,14.0,13.0,1.0,1,0.0,26.0,0,,21077.0,0.0,0.0
73,44.0,5.0,,第1节,-9.5,0.83,10.5,0.83,140.5,0.83,140.5,0.83,10.5,,1:2,,1.0,1.0,4.0,4.0,1.0,3.0,5.0,3.0,6.0,3.0,50.0,75.0,14.0,13.0,1.0,1,0.0,26.0,0,,21078.0,0.0,0.0
74,44.0,5.0,,第1节,-10.5,0.83,10.5,0.83,140.5,0.83,140.5,0.83,-10.5,,1:2,,1.0,1.0,4.0,4.0,1.0,3.0,5.0,3.0,6.0,3.0,50.0,75.0,14.0,13.0,0.0,1,0.0,26.0,0,,21078.0,0.0,0.0
75,44.0,5.0,,第1节,-10.5,0.87,10.5,0.8,140.5,0.83,140.5,0.83,-10.5,,1:2,,1.0,1.0,4.0,4.0,1.0,3.0,5.0,3.0,6.0,3.0,50.0,60.0,14.0,13.0,0.0,1,0.0,26.0,0,,21080.0,0.0,0.0
76,44.0,5.0,,第1节,-10.5,0.87,10.5,0.8,140.5,0.83,140.5,0.83,-10.5,,2:2,,1.0,1.0,4.0,4.0,1.0,3.0,5.0,3.0,6.0,3.0,50.0,60.0,14.0,15.0,0.0,1,0.0,26.0,0,,21078.0,0.0,0.0
77,44.0,5.0,,第1节,-10.5,0.87,10.5,0.8,140.5,0.83,140.5,0.83,-10.5,,2:2,,1.0,1.0,4.0,4.0,1.0,4.0,5.0,3.0,6.0,3.0,50.0,66.7,14.0,15.0,0.0,1,0.0,26.0,0,,21079.0,0.0,0.0
78,44.0,5.0,,第1节,-10.5,0.83,10.5,0.83,140.5,0.83,140.5,0.83,-10.5,,,,1.0,1.0,4.0,4.0,1.0,4.0,5.0,3.0,6.0,3.0,50.0,66.7,15.0,13.0,0.0,1,0.0,26.0,0,,11077.0,0.0,0.0
79,44.0,5.0,,第1节,-10.5,0.83,10.5,0.83,140.5,0.83,140.5,0.83,-10.5,,,,1.0,1.0,4.0,4.0,1.0,4.0,5.0,3.0,6.0,3.0,50.0,66.7,15.0,13.0,0.0,1,10.0,0.0,0,,11077.0,0.0,0.0
80,44.0,5.0,,第2节,-10.5,0.87,10.5,0.8,140.5,0.83,140.5,0.83,-10.5,,1.0,0.0,1.0,1.0,4.0,4.0,1.0,4.0,5.0,3.0,0.0,0.0,50.0,66.7,15.0,13.0,0.0,1,10.0,0.0,0,,1082.0,0.0,0.0
81,44.0,5.0,第2节,第2节,-10.5,0.87,10.5,0.8,140.5,0.83,140.5,0.83,-10.5,2.0,,0.0,1.0,1.0,4.0,4.0,1.0,4.0,5.0,3.0,0.0,0.0,50.0,66.7,15.0,13.0,0.0,1,10.0,0.0,0,,1088.0,0.0,0.0
82,44.0,5.0,第2节,第2节,-10.5,0.87,10.5,0.8,140.5,0.83,140.5,0.83,-10.5,2.0,,0.0,1.0,1.0,4.0,4.0,1.0,4.0,5.0,3.0,0.0,0.0,50.0,66.7,15.0,13.0,0.0,1,10.0,59.0,0,,21077.0,0.0,0.0
83,44.0,5.0,第2节,第2节,-10.5,0.87,10.5,0.8,140.5,0.83,140.5,0.83,-10.5,2.0,,0.0,1.0,1.0,4.0,4.0,1.0,4.0,5.0,3.0,0.0,0.0,50.0,66.7,15.0,13.0,0.0,1,9.0,59.0,0,,21077.0,0.0,0.0
84,44.0,5.0,第2节,第2节,-10.5,0.87,10.5,0.8,140.5,0.83,140.5,0.83,-10.5,2.0,,0.0,1.0,1.0,4.0,4.0,1.0,4.0,5.0,3.0,0.0,0.0,50.0,66.7,15.0,13.0,0.0,1,9.0,45.0,0,,21077.0,0.0,0.0
85,44.0,5.0,第2节,第2节,-10.5,0.87,10.5,0.8,140.5,0.83,140.5,0.83,-10.5,2.0,,0.0,1.0,1.0,4.0,4.0,1.0,4.0,5.0,3.0,0.0,0.0,50.0,66.7,15.0,13.0,0.0,1,9.0,45.0,0,,11077.0,0.0,0.0
86,44.0,5.0,第2节,第2节,-10.5,0.87,10.5,0.8,140.5,0.83,140.5,0.83,-10.5,2.0,,0.0,1.0,1.0,4.0,4.0,1.0,4.0,5.0,3.0,0.0,0.0,50.0,66.7,15.0,13.0,0.0,1,9.0,23.0,0,,11077.0,0.0,0.0
87,44.0,5.0,第2节,第2节,-10.5,0.8,9.5,0.87,140.5,0.83,140.5,0.83,9.5,2.0,,0.0,1.0,1.0,4.0,4.0,1.0,4.0,5.0,3.0,0.0,0.0,50.0,66.7,15.0,13.0,0.0,1,9.0,23.0,0,,11077.0,0.0,0.0
88,44.0,5.0,第2节,第2节,-9.5,0.8,9.5,0.87,140.5,0.83,140.5,0.83,-9.5,2.0,,0.0,2.0,1.0,4.0,4.0,1.0,4.0,5.0,3.0,0.0,0.0,50.0,66.7,16.0,13.0,0.0,1,9.0,23.0,0,,11075.0,0.0,0.0
89,44.0,5.0,第2节,第2节,-9.5,0.8,9.5,0.87,140.5,0.83,140.5,0.83,-9.5,2.0,,0.0,2.0,1.0,4.0,4.0,1.0,4.0,5.0,3.0,0.0,0.0,50.0,66.7,15.0,16.0,0.0,1,9.0,23.0,0,,21077.0,0.0,0.0
90,44.0,5.0,第2节,第2节,-9.5,0.83,7.5,0.83,140.5,0.83,140.5,0.83,7.5,2.0,,0.0,2.0,1.0,4.0,4.0,1.0,4.0,5.0,3.0,0.0,0.0,50.0,66.7,15.0,16.0,0.0,1,9.0,23.0,0,,21077.0,0.0,0.0
91,44.0,5.0,第2节,第2节,-7.5,0.83,7.5,0.83,140.5,0.83,140.5,0.83,-7.5,2.0,,0.0,2.0,1.0,4.0,4.0,1.0,4.0,5.0,3.0,0.0,0.0,50.0,66.7,15.0,16.0,0.0,1,9.0,20.0,0,,21077.0,0.0,0.0
92,44.0,5.0,第2节,第2节,-7.5,0.83,7.5,0.83,140.5,0.83,140.5,0.83,-7.5,2.0,,0.0,2.0,1.0,4.0,4.0,1.0,4.0,5.0,3.0,0.0,0.0,50.0,66.7,15.0,16.0,0.0,1,9.0,20.0,0,,21077.0,0.0,0.0
93,44.0,5.0,第2节,第2节,-7.5,0.83,7.5,0.83,140.5,0.83,140.5,0.83,-7.5,2.0,,0.0,2.0,1.0,4.0,4.0,1.0,4.0,5.0,3.0,0.0,0.0,50.0,66.7,15.0,16.0,0.0,1,9.0,15.0,0,,21077.0,0.0,0.0
94,44.0,5.0,第2节,第2节,-7.5,0.83,7.5,0.83,140.5,0.83,140.5,0.83,-7.5,2.0,,0.0,2.0,1.0,4.0,5.0,1.0,4.0,5.0,3.0,0.0,0.0,50.0,66.7,15.0,17.0,0.0,1,9.0,15.0,0,,21074.0,0.0,0.0
95,44.0,5.0,第2节,第2节,-7.5,0.83,7.5,0.83,140.5,0.83,140.5,0.83,-7.5,2.0,,0.0,2.0,1.0,4.0,5.0,1.0,4.0,5.0,3.0,0.0,0.0,50.0,66.7,17.0,16.0,0.0,1,8.0,58.0,0,,11077.0,0.0,0.0
96,44.0,5.0,第2节,第2节,-7.5,0.8,8.5,0.87,140.5,0.83,140.5,0.83,8.5,2.0,,0.0,2.0,1.0,4.0,5.0,1.0,4.0,5.0,3.0,0.0,0.0,50.0,66.7,17.0,16.0,0.0,1,8.0,58.0,0,,11077.0,0.0,0.0
97,44.0,5.0,第2节,第2节,-8.5,0.8,8.5,0.87,140.5,0.83,140.5,0.83,-8.5,2.0,,0.0,2.0,1.0,4.0,5.0,1.0,4.0,5.0,3.0,0.0,0.0,50.0,66.7,17.0,16.0,0.0,1,8.0,54.0,0,,11077.0,0.0,0.0
