,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,4.0,-1.5,0.8333333333333334,1.5,0.8333333333333334,130.5,0.8333333333333334,130.5,0.8333333333333334,,,,3.0,7.0,15.0,10.0,7.0,7.0,4.0,2.0,0.0,0.0,53.8,70.0,46,48,0,1,9.0,42.0,0,20181110015900,01090^21077,0.6666666666666666,1.1
1,,,4.0,-1.5,0.8695652173913043,1.5,0.8,130.5,0.8333333333333334,130.5,0.8333333333333334,,,,3.0,7.0,15.0,10.0,7.0,7.0,4.0,2.0,0.0,1.0,53.8,70.0,46,48,0,1,9.0,42.0,0,20181110015901.0,21086^11077,0.7142857142857143,1.0
2,,,4.0,1.5,0.8,-1.5,0.8695652173913043,131.5,0.8333333333333334,131.5,0.8333333333333334,,1:2,,3.0,7.0,15.0,10.0,7.0,7.0,4.0,2.0,0.0,1.0,53.8,70.0,46,48,0,1,9.0,42.0,0,20181110015902.0,11078.0,1.2,0.625
3,,,4.0,1.5,0.8,-1.5,0.8695652173913043,131.5,0.8333333333333334,131.5,0.8333333333333334,,1:2^2:2,,3.0,7.0,15.0,10.0,7.0,7.0,4.0,2.0,0.0,1.0,50.0,70.0,46,48,0,1,9.0,42.0,0,20181110015923.0,11080^11078,1.0,0.7142857142857143
4,,,4.0,-1.5,0.8333333333333334,1.5,0.8333333333333334,130.5,0.8333333333333334,130.5,0.8333333333333334,,2:2^,,3.0,7.0,15.0,10.0,7.0,7.0,4.0,2.0,0.0,1.0,46.7,70.0,46,48,0,1,9.0,42.0,1.0,20181110015939.0,11080^21077,0.6666666666666666,1.1
5,,,4.0,-1.5,0.8695652173913043,1.5,0.8,130.5,0.8333333333333334,130.5,0.8333333333333334,,,,3.0,7.0,15.0,10.0,7.0,7.0,4.0,2.0,0.0,1.0,46.7,70.0,46,48,0,1,9.0,40.0,1.0,20181110015940.0,11077.0,0.7142857142857143,1.0
6,,,4.0,2.5,0.8333333333333334,-2.5,0.8333333333333334,133.5,0.8333333333333334,133.5,0.8333333333333334,,^,,4.0,7.0,15.0,10.0,7.0,7.0,4.0,2.0,0.0,1.0,46.7,70.0,49,48,0,1,9.0,36.0,1.0,20181110015944.0,11075^21077,1.5,0.5
7,,,4.0,2.5,0.8333333333333334,-2.5,0.8333333333333334,133.5,0.8333333333333334,133.5,0.8333333333333334,,^,,4.0,7.0,15.0,10.0,7.0,7.0,4.0,2.0,0.0,1.0,46.7,70.0,49,48,0,1,9.0,36.0,1.0,20181110015945.0,11075^21077,1.5,0.5
8,,,4.0,2.5,0.8333333333333334,-2.5,0.8333333333333334,132.5,0.8333333333333334,132.5,0.8333333333333334,,,,4.0,7.0,15.0,10.0,7.0,7.0,4.0,2.0,0.0,1.0,46.7,70.0,49,48,0,1,9.0,27.0,1.0,20181110015954.0,21077.0,1.5,0.5
9,,,4.0,2.5,0.8333333333333334,-2.5,0.8333333333333334,132.5,0.8333333333333334,132.5,0.8333333333333334,,,,4.0,7.0,15.0,10.0,7.0,7.0,4.0,2.0,0.0,1.0,46.7,70.0,49,48,0,1,9.0,19.0,1.0,20181110020002.0,21077.0,1.4,0.5263157894736842
10,,,4.0,2.5,0.8333333333333334,-2.5,0.8333333333333334,131.5,0.8333333333333334,131.5,0.8333333333333334,,,,4.0,7.0,15.0,10.0,7.0,7.0,4.0,2.0,0.0,1.0,46.7,70.0,49,48,0,1,9.0,11.0,1.0,20181110020009.0,21094.0,1.4,0.5263157894736842
11,,,4.0,2.5,0.8333333333333334,-2.5,0.8333333333333334,131.5,0.8333333333333334,131.5,0.8333333333333334,,,,4.0,7.0,15.0,10.0,7.0,7.0,4.0,2.0,0.0,1.0,46.7,70.0,49,48,0,1,9.0,11.0,1.0,20181110020010.0,21077.0,1.4,0.5263157894736842
12,,,4.0,2.5,0.8333333333333334,-2.5,0.8333333333333334,131.5,0.8333333333333334,131.5,0.8333333333333334,,,,4.0,7.0,15.0,10.0,7.0,7.0,4.0,2.0,0.0,1.0,46.7,70.0,49,48,0,1,9.0,2.0,1.0,20181110020018.0,21077.0,1.4,0.5263157894736842
13,,,4.0,2.5,0.8695652173913043,-2.5,0.8,131.5,0.8333333333333334,131.5,0.8333333333333334,,,,4.0,7.0,15.0,10.0,7.0,7.0,4.0,2.0,0.0,1.0,46.7,70.0,49,48,0,1,9.0,2.0,1.0,20181110020018.0,11077.0,1.55,0.47619047619047616
14,,,4.0,2.5,0.8695652173913043,-2.5,0.8,131.5,0.8333333333333334,131.5,0.8333333333333334,,,,4.0,7.0,15.0,10.0,7.0,7.0,4.0,2.0,0.0,1.0,46.7,70.0,49,48,0,1,9.0,49.0,1.0,20181110020033.0,11077.0,1.55,0.47619047619047616
15,,,4.0,4.5,0.7692307692307693,-4.5,0.9090909090909091,132.5,0.8333333333333334,132.5,0.8333333333333334,,^,,4.0,7.0,16.0,10.0,7.0,7.0,4.0,2.0,0.0,1.0,46.7,70.0,51,48,0,1,9.0,45.0,1.0,20181110020036.0,11074^21077,2.25,0.3333333333333333
16,,,4.0,4.5,0.7692307692307693,-4.5,0.9090909090909091,131.5,0.8333333333333334,131.5,0.8333333333333334,,,,4.0,7.0,16.0,10.0,7.0,7.0,4.0,2.0,0.0,1.0,46.7,70.0,51,48,0,1,9.0,36.0,1.0,20181110020045.0,21077.0,2.25,0.3333333333333333
17,,,4.0,4.5,0.7692307692307693,-4.5,0.9090909090909091,131.5,0.8333333333333334,131.5,0.8333333333333334,,,,4.0,7.0,16.0,10.0,7.0,7.0,4.0,2.0,0.0,1.0,46.7,70.0,51,48,0,1,9.0,30.0,1.0,20181110020050.0,21094.0,2.25,0.3333333333333333
