,AM,AS,CP,ED,HA,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,OD,PG,PI,S1_h,S2_h,S3_h,S4_h,S5_h,S6_h,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,第1节,,9.5,0.83,-9.5,0.83,126.5,0.83,126.5,0.83,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,,,0.0,0.0
1,,,,第1节,,9.5,0.83,-9.5,0.83,126.5,0.83,126.5,0.83,,,,,,,,,,,,,,1.0,1,10.0,,0.0,0,,,0.0,0.0
2,,,,第1节,,9.5,0.83,-9.5,0.83,126.5,0.83,126.5,0.83,,,,,,,,,,,,,,1.0,1,10.0,,0.0,0,,,0.0,0.0
3,,,,第1节,,9.5,0.83,-9.5,0.83,126.5,0.83,126.5,0.83,,,,,,,,,,,,,,1.0,1,10.0,,0.0,0,,,0.0,0.0
4,,,,第1节,,9.5,0.83,-9.5,0.83,126.5,0.83,126.5,0.83,,,,,,,,,,,,,,1.0,1,10.0,,0.0,0,,,0.0,0.0
5,,,,第1节,,9.5,0.83,-9.5,0.83,126.5,0.83,126.5,0.83,,,,,,,,,,,,,,1.0,1,10.0,,0.0,0,,,0.0,0.0
6,,,,第1节,,9.5,0.83,-9.5,0.83,126.5,0.83,126.5,0.83,,,,,,,,,,,,,,1.0,1,10.0,,0.0,0,,,0.0,0.0
7,,,,第1节,,9.5,0.83,-9.5,0.83,126.5,0.83,126.5,0.83,,,,,,,,,,,,,,0.0,1,10.0,,0.0,0,,,0.0,0.0
8,,,,第1节,,9.5,0.83,-9.5,0.83,126.5,0.83,126.5,0.83,,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,,,0.0,1,10.0,,0.0,0,,1087.0,0.0,0.0
9,,,,第1节,,9.5,0.83,-9.5,0.83,126.5,0.83,126.5,0.83,,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,,,1.0,1,10.0,,0.0,0,,1087.0,0.0,0.0
10,,,,第1节,,9.5,0.83,-9.5,0.83,126.5,0.83,126.5,0.83,,1.0,,,,0.0,0.0,0.0,5.0,0.0,0.0,,,1.0,0.0,10.0,,0.0,0,,1087.0,0.0,0.0
