,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
10,,,,第3节,-14.5,0.83,14.5,0.83,123.5,0.83,123.5,0.83,123.5,3.0,,,3.0,2.0,7.0,12.0,2.0,3.0,4.0,4,0.0,0.0,100.0,60.0,34.0,25.0,0.0,1.0,9.0,26.0,0,,11077.0,0.0,0.0
11,,,,第3节,-14.5,0.83,14.5,0.83,122.5,0.83,122.5,0.83,122.5,3.0,,,3.0,2.0,7.0,12.0,2.0,3.0,4.0,4,0.0,0.0,100.0,60.0,34.0,25.0,0.0,1.0,9.0,26.0,0,,21077.0,0.0,0.0
12,,,,第3节,-14.5,0.83,14.5,0.83,122.5,0.83,122.5,0.83,122.5,3.0,,,3.0,2.0,7.0,12.0,2.0,3.0,4.0,4,0.0,0.0,100.0,60.0,34.0,25.0,0.0,1.0,9.0,14.0,0,,21077.0,0.0,0.0
13,,,,第3节,-14.5,0.83,14.5,0.83,122.5,0.83,122.5,0.83,122.5,3.0,,,3.0,2.0,7.0,12.0,2.0,3.0,4.0,4,0.0,0.0,100.0,60.0,34.0,25.0,0.0,1.0,9.0,14.0,0,,21077.0,0.0,0.0
14,,,,第3节,-14.5,0.83,14.5,0.83,122.5,0.83,122.5,0.83,122.5,3.0,,,3.0,2.0,7.0,12.0,2.0,3.0,4.0,4,0.0,0.0,100.0,60.0,34.0,25.0,0.0,1.0,9.0,12.0,0,,21077.0,0.0,0.0
15,,,,第3节,-14.5,0.83,14.5,0.83,122.5,0.83,122.5,0.83,122.5,3.0,,,3.0,2.0,7.0,12.0,2.0,3.0,4.0,4,0.0,0.0,100.0,60.0,34.0,25.0,0.0,1.0,9.0,12.0,0,,21077.0,0.0,0.0
16,,,,第3节,-14.5,0.83,14.5,0.83,122.5,0.83,122.5,0.83,122.5,3.0,,,3.0,2.0,7.0,12.0,2.0,3.0,4.0,4,0.0,0.0,100.0,60.0,34.0,25.0,0.0,1.0,9.0,1.0,0,,21077.0,0.0,0.0
17,,,,第3节,-14.5,0.83,14.5,0.83,121.5,0.83,121.5,0.83,121.5,3.0,,,3.0,2.0,7.0,12.0,2.0,3.0,4.0,4,0.0,0.0,100.0,60.0,34.0,25.0,0.0,1.0,9.0,1.0,0,,11077.0,0.0,0.0
18,,,,第3节,-14.5,0.83,14.5,0.83,121.5,0.83,120.5,0.83,121.5,3.0,,,3.0,2.0,7.0,12.0,2.0,3.0,4.0,4,0.0,0.0,100.0,60.0,34.0,25.0,0.0,1.0,9.0,1.0,0,,21077.0,0.0,0.0
19,,,,第3节,-14.5,0.83,14.5,0.83,121.5,0.83,120.5,0.83,120.5,3.0,,,3.0,2.0,7.0,12.0,2.0,3.0,4.0,4,0.0,0.0,100.0,60.0,34.0,25.0,0.0,1.0,8.0,48.0,0,,21077.0,0.0,0.0
20,,,,第3节,-14.5,0.83,14.5,0.83,120.5,0.83,120.5,0.83,120.5,3.0,,,3.0,2.0,7.0,12.0,2.0,3.0,4.0,4,0.0,0.0,100.0,60.0,34.0,25.0,0.0,1.0,8.0,48.0,0,,21077.0,0.0,0.0
21,,,,第3节,-14.5,0.83,14.5,0.83,120.5,0.83,120.5,0.83,120.5,3.0,,,3.0,2.0,7.0,12.0,2.0,3.0,4.0,4,0.0,0.0,100.0,60.0,34.0,25.0,0.0,1.0,8.0,26.0,0,,21077.0,0.0,0.0
22,,,,第3节,-14.5,0.83,14.5,0.83,119.5,0.83,119.5,0.83,119.5,3.0,,,3.0,2.0,7.0,12.0,2.0,3.0,4.0,4,0.0,0.0,100.0,60.0,34.0,25.0,0.0,1.0,8.0,26.0,0,,21077.0,0.0,0.0
23,,,,第3节,-14.5,0.83,14.5,0.83,119.5,0.83,119.5,0.83,119.5,3.0,,,3.0,2.0,7.0,12.0,2.0,3.0,4.0,4,1.0,0.0,100.0,60.0,34.0,25.0,0.0,1.0,8.0,26.0,0,,11086.0,0.0,0.0
24,,,,第3节,-14.5,0.83,14.5,0.83,119.5,0.83,119.5,0.83,119.5,3.0,,,3.0,2.0,7.0,12.0,2.0,3.0,4.0,4,1.0,0.0,100.0,60.0,34.0,25.0,0.0,1.0,8.0,25.0,0,,21077.0,0.0,0.0
25,,,,第3节,-14.5,0.87,15.5,0.8,119.5,0.83,119.5,0.83,15.5,3.0,1:2,,3.0,2.0,7.0,12.0,2.0,3.0,4.0,4,1.0,0.0,100.0,60.0,34.0,25.0,0.0,1.0,8.0,25.0,0,,21078.0,0.0,0.0
26,,,,第3节,-15.5,0.87,15.5,0.8,119.5,0.83,120.5,0.83,-15.5,3.0,1:2,,3.0,2.0,7.0,12.0,2.0,3.0,4.0,4,1.0,0.0,100.0,60.0,34.0,25.0,0.0,1.0,8.0,25.0,0,,21078.0,0.0,0.0
27,,,,第3节,-15.5,0.87,15.5,0.8,120.5,0.83,120.5,0.83,120.5,3.0,1:2,,3.0,2.0,7.0,12.0,2.0,3.0,4.0,4,1.0,0.0,100.0,60.0,34.0,25.0,0.0,1.0,8.0,25.0,0,,21078.0,0.0,0.0
28,,,,第3节,-15.5,0.87,15.5,0.8,120.5,0.83,120.5,0.83,120.5,3.0,1:2,,3.0,2.0,7.0,12.0,2.0,3.0,4.0,4,1.0,0.0,100.0,60.0,34.0,25.0,0.0,1.0,8.0,8.0,0,,21078.0,0.0,0.0
29,,,,第3节,-15.5,0.87,15.5,0.8,120.5,0.83,120.5,0.83,120.5,3.0,1:2,,3.0,2.0,7.0,12.0,2.0,4.0,4.0,4,1.0,0.0,100.0,66.7,34.0,35.0,0.0,1.0,8.0,8.0,0,,21079.0,0.0,0.0
30,,,,第3节,-15.5,0.87,15.5,0.8,120.5,0.83,120.5,0.83,120.5,3.0,2:2,,3.0,2.0,7.0,12.0,2.0,4.0,4.0,4,1.0,0.0,100.0,66.7,35.0,25.0,0.0,1.0,8.0,8.0,0,,21078.0,0.0,0.0
31,,,,第3节,-15.5,0.83,15.5,0.83,119.5,0.83,119.5,0.83,119.5,3.0,2:2,,3.0,2.0,7.0,12.0,2.0,4.0,4.0,4,1.0,0.0,100.0,66.7,35.0,25.0,0.0,1.0,8.0,8.0,0,,21078.0,0.0,0.0
32,,,,第3节,-15.5,0.83,15.5,0.83,119.5,0.83,119.5,0.83,119.5,3.0,,,3.0,2.0,7.0,12.0,2.0,4.0,4.0,4,1.0,0.0,100.0,66.7,35.0,25.0,0.0,1.0,7.0,49.0,0,,11077.0,0.0,0.0
33,,,,第3节,-15.5,0.87,15.5,0.8,118.5,0.83,118.5,0.83,118.5,3.0,,,3.0,2.0,7.0,12.0,2.0,4.0,4.0,4,1.0,0.0,100.0,66.7,35.0,25.0,0.0,1.0,7.0,49.0,0,,11077.0,0.0,0.0
34,,,,第3节,-15.5,0.87,15.5,0.8,118.5,0.83,118.5,0.83,118.5,3.0,,,3.0,2.0,7.0,12.0,2.0,4.0,4.0,4,1.0,0.0,100.0,66.7,35.0,25.0,1.0,1.0,7.0,49.0,0,,11077.0,0.0,0.0
35,,,,第3节,-15.5,0.87,15.5,0.8,118.5,0.83,118.5,0.83,118.5,3.0,,,3.0,2.0,7.0,12.0,2.0,4.0,4.0,4,1.0,0.0,100.0,66.7,35.0,25.0,1.0,1.0,7.0,49.0,0,,11077.0,0.0,0.0
36,,,,第3节,-15.5,0.87,15.5,0.8,118.5,0.83,118.5,0.83,118.5,3.0,,,3.0,2.0,7.0,12.0,2.0,4.0,4.0,4,1.0,0.0,100.0,66.7,35.0,25.0,1.0,1.0,7.0,49.0,0,,11077.0,0.0,0.0
37,,,,第3节,-15.5,0.87,15.5,0.8,118.5,0.83,118.5,0.83,118.5,3.0,,,3.0,2.0,7.0,12.0,2.0,4.0,4.0,4,1.0,0.0,100.0,66.7,35.0,25.0,1.0,1.0,7.0,49.0,0,,11077.0,0.0,0.0
38,,,,第3节,-15.5,0.87,15.5,0.8,118.5,0.83,118.5,0.83,118.5,3.0,,,3.0,2.0,7.0,12.0,2.0,4.0,4.0,4,1.0,0.0,100.0,66.7,35.0,25.0,1.0,1.0,7.0,49.0,0,,11077.0,0.0,0.0
39,,,,第3节,-15.5,0.87,15.5,0.8,118.5,0.83,118.5,0.83,118.5,3.0,,,3.0,2.0,7.0,12.0,2.0,4.0,4.0,4,1.0,0.0,100.0,66.7,35.0,25.0,1.0,1.0,7.0,48.0,0,,11077.0,0.0,0.0
40,,,,第3节,-15.5,0.87,15.5,0.8,118.5,0.83,118.5,0.83,118.5,3.0,,,3.0,2.0,7.0,12.0,2.0,4.0,4.0,4,1.0,1.0,100.0,66.7,35.0,25.0,1.0,1.0,7.0,48.0,0,,21086.0,0.0,0.0
41,,,,第3节,-15.5,0.87,15.5,0.8,118.5,0.83,118.5,0.83,118.5,3.0,,,3.0,2.0,7.0,12.0,2.0,4.0,4.0,4,1.0,1.0,100.0,66.7,35.0,25.0,1.0,1.0,7.0,38.0,0,,11077.0,0.0,0.0
42,,,,第3节,-15.5,0.87,15.5,0.8,118.5,0.83,118.5,0.83,118.5,3.0,,,3.0,2.0,8.0,12.0,2.0,4.0,4.0,4,1.0,1.0,100.0,66.7,27.0,25.0,1.0,1.0,7.0,38.0,0,,11074.0,0.0,0.0
43,,,,第3节,-15.5,0.87,15.5,0.8,118.5,0.83,118.5,0.83,118.5,3.0,,,3.0,2.0,8.0,12.0,2.0,4.0,4.0,4,1.0,1.0,100.0,66.7,35.0,27.0,1.0,1.0,7.0,38.0,0,,21077.0,0.0,0.0
44,,,,第3节,-15.5,0.87,15.5,0.8,118.5,0.83,118.5,0.83,118.5,3.0,,,3.0,2.0,8.0,12.0,2.0,4.0,4.0,4,1.0,1.0,100.0,66.7,35.0,27.0,1.0,1.0,7.0,36.0,0,,21077.0,0.0,0.0
45,,,,第3节,-15.5,0.87,15.5,0.8,118.5,0.83,118.5,0.83,118.5,3.0,,,3.0,2.0,8.0,12.0,2.0,4.0,4.0,4,1.0,2.0,100.0,66.7,35.0,36.0,1.0,1.0,7.0,36.0,0,,21086.0,0.0,0.0
46,,,,第3节,-15.5,0.87,15.5,0.8,118.5,0.83,118.5,0.83,118.5,3.0,,,3.0,2.0,8.0,12.0,2.0,4.0,4.0,4,1.0,3.0,100.0,66.7,35.0,36.0,1.0,1.0,7.0,36.0,0,,11077.0,0.0,0.0
47,,,,第3节,-15.5,0.87,15.5,0.8,118.5,0.83,118.5,0.83,118.5,3.0,,,3.0,2.0,8.0,12.0,2.0,4.0,4.0,4,1.0,3.0,100.0,66.7,35.0,36.0,1.0,1.0,7.0,36.0,0,,21077.0,0.0,0.0
48,,,,第3节,-15.5,0.87,15.5,0.8,118.5,0.83,118.5,0.83,118.5,3.0,,,3.0,2.0,8.0,12.0,2.0,4.0,4.0,4,1.0,2.0,100.0,66.7,35.0,36.0,1.0,1.0,7.0,36.0,0,,11077.0,0.0,0.0
49,,,,第3节,-15.5,0.87,15.5,0.8,118.5,0.83,118.5,0.83,118.5,3.0,1:1,,3.0,2.0,8.0,12.0,2.0,4.0,4.0,4,1.0,2.0,100.0,66.7,35.0,36.0,1.0,1.0,7.0,36.0,0,,11078.0,0.0,0.0
50,,,,第3节,-15.5,0.87,15.5,0.8,118.5,0.83,118.5,0.83,118.5,3.0,1:1,,3.0,2.0,8.0,12.0,2.0,4.0,4.0,4,1.0,2.0,66.7,66.7,35.0,36.0,1.0,1.0,7.0,36.0,0,,11080.0,0.0,0.0
51,,,,第3节,-15.5,0.87,15.5,0.8,118.5,0.83,118.5,0.83,118.5,3.0,,,3.0,2.0,8.0,12.0,2.0,4.0,4.0,4,1.0,2.0,66.7,66.7,36.0,27.0,1.0,1.0,7.0,36.0,0,,21077.0,0.0,0.0
52,,,,第3节,-15.5,0.83,14.5,0.83,118.5,0.83,118.5,0.83,14.5,3.0,,,3.0,2.0,8.0,12.0,2.0,4.0,4.0,4,1.0,2.0,66.7,66.7,36.0,27.0,1.0,1.0,7.0,36.0,0,,21077.0,0.0,0.0
53,,,,第3节,-14.5,0.83,14.5,0.83,118.5,0.83,121.5,0.83,-14.5,3.0,,,3.0,2.0,8.0,12.0,2.0,4.0,4.0,4,1.0,2.0,66.7,66.7,36.0,27.0,1.0,1.0,7.0,36.0,0,,21077.0,0.0,0.0
54,,,,第3节,-14.5,0.83,14.5,0.83,121.5,0.83,121.5,0.83,121.5,3.0,,,3.0,2.0,8.0,12.0,2.0,4.0,4.0,4,1.0,2.0,66.7,66.7,36.0,27.0,1.0,1.0,7.0,36.0,0,,21077.0,0.0,0.0
55,,,,第3节,-14.5,0.83,14.5,0.83,121.5,0.83,121.5,0.83,121.5,3.0,,,3.0,2.0,8.0,12.0,2.0,4.0,4.0,4,1.0,2.0,66.7,66.7,36.0,27.0,1.0,1.0,7.0,36.0,0,,11077.0,0.0,0.0
56,,,,第3节,-14.5,0.83,14.5,0.83,121.5,0.83,121.5,0.83,121.5,3.0,,,3.0,2.0,8.0,12.0,2.0,4.0,4.0,4,1.0,2.0,66.7,66.7,36.0,27.0,1.0,1.0,7.0,36.0,0,,21077.0,0.0,0.0
57,,,,第3节,-14.5,0.83,14.5,0.83,121.5,0.83,121.5,0.83,121.5,3.0,,,3.0,2.0,8.0,12.0,2.0,4.0,4.0,4,2.0,2.0,66.7,66.7,36.0,27.0,1.0,1.0,7.0,36.0,0,,11086.0,0.0,0.0
58,,,,第3节,-14.5,0.83,14.5,0.83,121.5,0.83,121.5,0.83,121.5,3.0,,,3.0,2.0,8.0,12.0,2.0,4.0,4.0,4,2.0,2.0,66.7,66.7,36.0,27.0,1.0,1.0,7.0,36.0,0,,21077.0,0.0,0.0
59,,,,第3节,-14.5,0.83,14.5,0.83,121.5,0.83,121.5,0.83,121.5,3.0,1:2,,3.0,2.0,8.0,12.0,2.0,4.0,4.0,4,2.0,2.0,66.7,66.7,36.0,27.0,1.0,1.0,7.0,36.0,0,,21078.0,0.0,0.0
60,,,,第3节,-14.5,0.83,14.5,0.83,121.5,0.83,121.5,0.83,121.5,3.0,1:2,,3.0,2.0,8.0,12.0,2.0,4.0,4.0,4,2.0,2.0,66.7,57.1,36.0,27.0,1.0,1.0,7.0,36.0,0,,21080.0,0.0,0.0
61,,,,第3节,-14.5,0.83,14.5,0.83,121.5,0.83,121.5,0.83,121.5,3.0,2:2,,3.0,2.0,8.0,12.0,2.0,4.0,4.0,4,2.0,2.0,66.7,57.1,36.0,37.0,1.0,1.0,7.0,36.0,0,,21078.0,0.0,0.0
62,,,,第3节,-14.5,0.83,14.5,0.83,121.5,0.83,121.5,0.83,121.5,3.0,2:2,,3.0,2.0,8.0,12.0,2.0,5.0,4.0,4,2.0,2.0,66.7,62.5,36.0,37.0,1.0,1.0,7.0,36.0,0,,21079.0,0.0,0.0
63,,,,第3节,-14.5,0.83,14.5,0.83,121.5,0.83,121.5,0.83,121.5,3.0,,,3.0,2.0,8.0,12.0,2.0,5.0,4.0,4,2.0,2.0,66.7,62.5,37.0,27.0,1.0,1.0,7.0,36.0,0,,11077.0,0.0,0.0
64,,,,第3节,-14.5,0.83,14.5,0.83,121.5,0.83,121.5,0.83,121.5,3.0,,,3.0,2.0,8.0,12.0,2.0,5.0,4.0,4,2.0,2.0,66.7,62.5,37.0,27.0,1.0,1.0,7.0,0.0,0,,11077.0,0.0,0.0
65,,,,第3节,-14.5,0.83,14.5,0.83,120.5,0.83,120.5,0.83,120.5,3.0,,,3.0,2.0,8.0,12.0,2.0,5.0,4.0,4,2.0,2.0,66.7,62.5,37.0,27.0,1.0,1.0,7.0,0.0,0,,11077.0,0.0,0.0
66,,,,第3节,-14.5,0.83,14.5,0.83,120.5,0.83,120.5,0.83,120.5,3.0,,,3.0,2.0,8.0,12.0,2.0,5.0,4.0,4,2.0,2.0,66.7,62.5,37.0,27.0,1.0,1.0,7.0,0.0,0,,21077.0,0.0,0.0
67,,,,第3节,-14.5,0.83,15.5,0.83,120.5,0.83,120.5,0.83,15.5,3.0,,,3.0,2.0,8.0,12.0,2.0,5.0,4.0,4,2.0,2.0,66.7,62.5,37.0,27.0,1.0,1.0,7.0,0.0,0,,21077.0,0.0,0.0
68,,,,第3节,-15.5,0.83,15.5,0.8,120.5,0.83,120.5,0.83,-15.5,3.0,,,3.0,2.0,8.0,12.0,2.0,5.0,4.0,4,2.0,2.0,66.7,62.5,37.0,27.0,1.0,1.0,7.0,0.0,0,,21077.0,0.0,0.0
69,,,,第3节,-15.5,0.87,16.5,0.8,120.5,0.83,120.5,0.83,16.5,3.0,,,3.0,2.0,8.0,12.0,2.0,5.0,4.0,4,2.0,2.0,66.7,62.5,37.0,27.0,1.0,1.0,7.0,0.0,0,,21077.0,0.0,0.0
70,,,,第3节,-16.5,0.87,16.5,0.8,120.5,0.83,122.5,0.83,-16.5,3.0,,,3.0,2.0,8.0,12.0,2.0,5.0,4.0,4,2.0,2.0,66.7,62.5,37.0,27.0,1.0,1.0,7.0,0.0,0,,21077.0,0.0,0.0
71,,,,第3节,-16.5,0.87,16.5,0.8,122.5,0.83,122.5,0.83,122.5,3.0,,,3.0,2.0,8.0,12.0,2.0,5.0,4.0,4,2.0,2.0,66.7,62.5,37.0,27.0,1.0,1.0,7.0,0.0,0,,21077.0,0.0,0.0
72,,,,第3节,-16.5,0.87,16.5,0.8,122.5,0.83,122.5,0.83,122.5,3.0,,,3.0,2.0,8.0,13.0,2.0,5.0,4.0,4,2.0,2.0,66.7,62.5,37.0,39.0,1.0,1.0,7.0,0.0,0,,21074.0,0.0,0.0
73,,,,第3节,-16.5,0.87,16.5,0.8,122.5,0.83,122.5,0.83,122.5,3.0,,,3.0,2.0,8.0,13.0,2.0,5.0,4.0,4,2.0,2.0,66.7,62.5,39.0,27.0,1.0,1.0,7.0,0.0,0,,11077.0,0.0,0.0
74,,,,第3节,-16.5,0.87,17.5,0.8,122.5,0.83,122.5,0.83,17.5,3.0,,,3.0,2.0,8.0,13.0,2.0,5.0,4.0,4,2.0,2.0,66.7,62.5,39.0,27.0,1.0,1.0,7.0,0.0,0,,11077.0,0.0,0.0
75,,,,第3节,-17.5,0.87,17.5,0.8,122.5,0.83,122.5,0.83,-17.5,3.0,,,3.0,2.0,8.0,13.0,2.0,5.0,4.0,4,2.0,2.0,66.7,62.5,39.0,27.0,1.0,1.0,7.0,0.0,0,,21077.0,0.0,0.0
76,,,,第3节,-17.5,0.87,16.5,0.8,122.5,0.83,122.5,0.83,16.5,3.0,,,3.0,2.0,8.0,13.0,2.0,5.0,4.0,4,2.0,2.0,66.7,62.5,39.0,27.0,1.0,1.0,7.0,0.0,0,,11077.0,0.0,0.0
77,,,,第3节,-16.5,0.87,16.5,0.8,122.5,0.83,122.5,0.83,-16.5,3.0,,,3.0,2.0,8.0,13.0,2.0,5.0,4.0,4,2.0,2.0,66.7,62.5,39.0,27.0,1.0,1.0,7.0,0.0,0,,21077.0,0.0,0.0
78,,,,第3节,-16.5,0.87,17.5,0.8,122.5,0.83,122.5,0.83,17.5,3.0,,,3.0,2.0,8.0,13.0,2.0,5.0,4.0,4,2.0,2.0,66.7,62.5,39.0,27.0,1.0,1.0,7.0,0.0,0,,21077.0,0.0,0.0
79,,,,第3节,-17.5,0.87,17.5,0.8,122.5,0.83,122.5,0.83,-17.5,3.0,,,3.0,2.0,8.0,13.0,2.0,5.0,4.0,4,2.0,2.0,66.7,62.5,39.0,27.0,0.0,1.0,7.0,0.0,0,,21077.0,0.0,0.0
80,,,,第3节,-17.5,0.87,17.5,0.8,122.5,0.83,122.5,0.83,-17.5,3.0,,,3.0,2.0,8.0,13.0,2.0,5.0,4.0,4,2.0,2.0,66.7,62.5,39.0,27.0,0.0,1.0,7.0,0.0,0,,21077.0,0.0,0.0
81,,,,第3节,-17.5,0.87,17.5,0.8,122.5,0.83,122.5,0.83,-17.5,3.0,,,3.0,2.0,8.0,13.0,2.0,5.0,4.0,4,2.0,2.0,66.7,62.5,39.0,27.0,0.0,1.0,7.0,0.0,0,,21077.0,0.0,0.0
82,,,,第3节,-17.5,0.87,17.5,0.8,122.5,0.83,122.5,0.83,-17.5,3.0,,,3.0,2.0,8.0,13.0,2.0,5.0,4.0,4,2.0,2.0,66.7,62.5,39.0,27.0,0.0,1.0,7.0,0.0,0,,21077.0,0.0,0.0
83,,,,第3节,-17.5,0.87,17.5,0.8,122.5,0.83,122.5,0.83,-17.5,3.0,,,3.0,2.0,8.0,13.0,2.0,5.0,4.0,4,2.0,2.0,66.7,62.5,39.0,27.0,0.0,1.0,7.0,0.0,0,,21077.0,0.0,0.0
84,,,,第3节,-17.5,0.87,17.5,0.8,122.5,0.83,122.5,0.83,-17.5,3.0,,,3.0,2.0,8.0,13.0,2.0,5.0,4.0,4,2.0,2.0,66.7,62.5,39.0,27.0,0.0,1.0,6.0,57.0,0,,21077.0,0.0,0.0
85,,,,第3节,-17.5,0.87,17.5,0.8,122.5,0.83,122.5,0.83,-17.5,3.0,,,3.0,2.0,8.0,13.0,2.0,5.0,4.0,4,2.0,2.0,66.7,62.5,39.0,27.0,0.0,1.0,6.0,57.0,0,,11077.0,0.0,0.0
86,,,,第3节,-17.5,0.87,17.5,0.8,122.5,0.83,122.5,0.83,-17.5,3.0,,,3.0,2.0,8.0,13.0,2.0,5.0,4.0,4,2.0,2.0,66.7,62.5,39.0,27.0,0.0,1.0,6.0,39.0,0,,11077.0,0.0,0.0
87,,,,第3节,-17.5,0.87,16.5,0.8,122.5,0.83,122.5,0.83,16.5,3.0,,,3.0,2.0,8.0,13.0,2.0,5.0,4.0,4,2.0,2.0,66.7,62.5,39.0,27.0,0.0,1.0,6.0,39.0,0,,11077.0,0.0,0.0
88,,,,第3节,-16.5,0.87,16.5,0.8,122.5,0.83,121.5,0.83,-16.5,3.0,,,3.0,2.0,8.0,13.0,2.0,5.0,4.0,4,2.0,2.0,66.7,62.5,39.0,27.0,0.0,1.0,6.0,39.0,0,,11077.0,0.0,0.0
89,,,,第3节,-16.5,0.87,16.5,0.8,121.5,0.83,121.5,0.83,121.5,3.0,,,3.0,2.0,8.0,13.0,2.0,5.0,4.0,4,2.0,2.0,66.7,62.5,39.0,27.0,0.0,1.0,6.0,39.0,0,,11077.0,0.0,0.0
90,,,,第3节,-16.5,0.87,16.5,0.8,121.5,0.83,121.5,0.83,121.5,3.0,,,3.0,2.0,8.0,13.0,2.0,5.0,4.0,4,2.0,2.0,66.7,62.5,39.0,27.0,0.0,1.0,6.0,35.0,0,,11077.0,0.0,0.0
91,,,,第3节,-16.5,0.87,17.5,0.8,121.5,0.83,121.5,0.83,17.5,3.0,,,3.0,2.0,8.0,13.0,2.0,5.0,4.0,4,2.0,2.0,66.7,62.5,39.0,27.0,0.0,1.0,6.0,35.0,0,,21077.0,0.0,0.0
92,,,,第3节,-16.5,0.87,17.5,0.8,121.5,0.83,121.5,0.83,17.5,3.0,,,3.0,2.0,8.0,13.0,2.0,5.0,4.0,4,2.0,2.0,66.7,62.5,39.0,27.0,0.0,1.0,6.0,25.0,0,,21077.0,0.0,0.0
93,,,,第3节,-17.5,0.87,17.5,0.8,121.5,0.83,120.5,0.83,-17.5,3.0,,,3.0,2.0,8.0,13.0,2.0,5.0,4.0,4,2.0,2.0,66.7,62.5,39.0,27.0,0.0,1.0,6.0,25.0,0,,21077.0,0.0,0.0
94,,,,第3节,-17.5,0.87,17.5,0.8,120.5,0.83,120.5,0.83,120.5,3.0,,,3.0,2.0,8.0,13.0,2.0,5.0,4.0,4,2.0,2.0,66.7,62.5,39.0,27.0,0.0,1.0,6.0,25.0,0,,21077.0,0.0,0.0
95,,,,第3节,-17.5,0.87,17.5,0.8,120.5,0.83,120.5,0.83,120.5,3.0,,,3.0,2.0,8.0,13.0,2.0,5.0,4.0,4,2.0,2.0,66.7,62.5,39.0,27.0,0.0,1.0,6.0,17.0,0,,21077.0,0.0,0.0
96,,,,第3节,-17.5,0.91,16.5,0.77,120.5,0.83,120.5,0.83,16.5,3.0,,,3.0,2.0,8.0,13.0,2.0,5.0,4.0,4,2.0,2.0,66.7,62.5,39.0,27.0,0.0,1.0,6.0,17.0,0,,11077.0,0.0,0.0
97,,,,第3节,-16.5,0.91,16.5,0.77,120.5,0.83,119.5,0.83,-16.5,3.0,,,3.0,2.0,8.0,13.0,2.0,5.0,4.0,4,2.0,2.0,66.7,62.5,39.0,27.0,0.0,1.0,6.0,17.0,0,,11077.0,0.0,0.0
