,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC,WA_ODD,WH_ODD
35,,,,第1节,-3.5,0.83,3.5,0.83,165.5,0.83,165.5,0.83,165.5,1.0,,,1.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,2.0,3.0,1.0,1,8.0,GD,35.0,0,,21077.0,0.56,1.3
36,,,,第1节,-3.5,0.83,3.5,0.83,165.5,0.83,165.5,0.83,165.5,1.0,,,1.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,2.0,3.0,1.0,1,8.0,GD,35.0,0,,21077.0,0.56,1.3
37,,,,第1节,-3.5,0.83,3.5,0.83,165.5,0.83,165.5,0.83,165.5,1.0,,,1.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,2.0,3.0,1.0,1,8.0,GD,35.0,0,,21077.0,0.56,1.3
38,,,,第1节,-3.5,0.83,3.5,0.83,165.5,0.83,165.5,0.83,165.5,1.0,,,1.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,2.0,3.0,1.0,1,8.0,GD,35.0,0,,21077.0,0.56,1.3
39,,,,第1节,-3.5,0.83,3.5,0.83,165.5,0.83,165.5,0.83,165.5,1.0,,,1.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,2.0,3.0,1.0,1,8.0,GD,35.0,0,,21077.0,0.56,1.3
40,,,,第1节,-3.5,0.83,3.5,0.83,165.5,0.83,165.5,0.83,165.5,1.0,,,1.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,2.0,4.0,1.0,1,8.0,GD,35.0,0,,21074.0,0.56,1.3
41,,,,第1节,-3.5,0.83,3.5,0.83,165.5,0.83,165.5,0.83,165.5,1.0,,,1.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,4.0,3.0,1.0,1,8.0,GD,35.0,0,,11077.0,0.56,1.3
42,,,,第1节,-3.5,0.87,5.5,0.8,165.5,0.83,165.5,0.83,5.5,1.0,,,1.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,4.0,3.0,0.0,1,8.0,GD,35.0,0,,11077.0,0.56,1.3
43,,,,第1节,-5.5,0.87,5.5,0.8,165.5,0.83,167.5,0.83,-5.5,1.0,,,1.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,4.0,3.0,0.0,1,8.0,GD,35.0,0,,11077.0,0.56,1.3
44,,,,第1节,-5.5,0.87,5.5,0.8,167.5,0.83,167.5,0.83,167.5,1.0,,,1.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,4.0,3.0,0.0,1,8.0,GD,35.0,0,,11077.0,0.56,1.3
45,,,,第1节,-5.5,0.87,5.5,0.8,167.5,0.83,167.5,0.83,167.5,1.0,,,1.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,4.0,3.0,0.0,1,8.0,GD,35.0,0,,11077.0,0.56,0.0
46,,,,第1节,-5.5,0.87,5.5,0.8,167.5,0.83,167.5,0.83,167.5,1.0,,,1.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,4.0,3.0,0.0,1,8.0,GD,35.0,0,,11077.0,0.45,0.0
47,,,,第1节,-5.5,0.87,5.5,0.8,167.5,0.83,167.5,0.83,167.5,1.0,,,1.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,4.0,3.0,0.0,1,8.0,GD,33.0,0,,11077.0,0.45,0.0
48,,,,第1节,-5.5,0.87,5.5,0.8,167.5,0.83,167.5,0.83,167.5,1.0,,,1.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,4.0,3.0,0.0,1,8.0,GD,33.0,0,,21077.0,0.45,0.0
49,,,,第1节,-5.5,0.87,5.5,0.8,167.5,0.83,167.5,0.83,167.5,1.0,,,1.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,4.0,3.0,0.0,1,8.0,GD,28.0,0,,21077.0,0.45,0.0
50,,,,第1节,-5.5,0.87,5.5,0.8,167.5,0.83,167.5,0.83,167.5,1.0,,,1.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,4.0,3.0,0.0,1,8.0,GD,28.0,0,,21077.0,0.45,0.0
51,,,,第1节,-5.5,0.87,5.5,0.8,167.5,0.83,167.5,0.83,167.5,1.0,,,1.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,4.0,3.0,0.0,1,8.0,GD,21.0,0,,21077.0,0.45,0.0
52,,,,第1节,-5.5,0.87,5.5,0.8,167.5,0.83,167.5,0.83,167.5,1.0,,,1.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,4.0,3.0,0.0,1,8.0,GD,21.0,0,,21077.0,0.45,0.0
53,,,,第1节,-5.5,0.87,5.5,0.8,167.5,0.83,167.5,0.83,167.5,1.0,,,1.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,4.0,3.0,0.0,1,8.0,GD,9.0,0,,21077.0,0.45,0.0
54,,,,第1节,-5.5,0.8,4.5,0.87,167.5,0.83,167.5,0.83,4.5,1.0,,,1.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,4.0,3.0,0.0,1,8.0,GD,9.0,0,,11077.0,0.45,0.0
55,,,,第1节,-4.5,0.8,4.5,0.87,167.5,0.83,165.5,0.83,-4.5,1.0,,,1.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,4.0,3.0,0.0,1,8.0,GD,9.0,0,,11077.0,0.45,0.0
56,,,,第1节,-4.5,0.8,4.5,0.87,165.5,0.83,165.5,0.83,165.5,1.0,,,1.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,4.0,3.0,0.0,1,8.0,GD,9.0,0,,11077.0,0.45,0.0
57,,,,第1节,-4.5,0.8,4.5,0.87,165.5,0.83,165.5,0.83,165.5,1.0,,,1.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,4.0,3.0,0.0,1,7.0,GD,59.0,0,,11077.0,0.45,0.0
58,,,,第1节,-4.5,0.87,5.5,0.8,165.5,0.83,165.5,0.83,5.5,1.0,,,1.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,4.0,3.0,0.0,1,7.0,GD,59.0,0,,21077.0,0.45,0.0
59,,,,第1节,-5.5,0.87,5.5,0.8,165.5,0.83,164.5,0.83,-5.5,1.0,,,1.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,4.0,3.0,0.0,1,7.0,GD,59.0,0,,21077.0,0.45,0.0
60,,,,第1节,-5.5,0.87,5.5,0.8,164.5,0.83,164.5,0.83,164.5,1.0,,,1.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,4.0,3.0,0.0,1,7.0,GD,59.0,0,,21077.0,0.45,0.0
61,,,,第1节,-5.5,0.87,5.5,0.8,164.5,0.83,164.5,0.83,164.5,1.0,,,1.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,4.0,3.0,0.0,1,7.0,GD,58.0,0,,21077.0,0.45,0.0
62,,,,第1节,-5.5,0.87,5.5,0.8,164.5,0.83,164.5,0.83,164.5,1.0,,,1.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,4.0,3.0,0.0,1,7.0,GD,58.0,0,,21077.0,0.45,0.0
63,,,,第1节,-5.5,0.87,5.5,0.8,164.5,0.83,164.5,0.83,164.5,1.0,,,1.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,1.0,1.0,0.0,0.0,4.0,3.0,0.0,1,7.0,GD,49.0,0,,21077.0,0.45,0.0
64,,,,第1节,-5.5,0.87,5.5,0.8,164.5,0.83,164.5,0.83,164.5,1.0,,,1.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,2.0,1.0,0.0,0.0,4.0,3.0,0.0,1,7.0,GD,49.0,0,,11086.0,0.45,0.0
65,,,,第1节,-5.5,0.83,5.5,0.83,164.5,0.83,164.5,0.83,164.5,1.0,,,1.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,2.0,1.0,0.0,0.0,4.0,3.0,0.0,1,7.0,GD,46.0,0,,21077.0,0.0,0.0
66,,,,第1节,-5.5,0.87,5.5,0.8,163.5,0.83,163.5,0.83,163.5,1.0,,,1.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,2.0,1.0,0.0,0.0,4.0,3.0,0.0,1,7.0,GD,46.0,0,,21077.0,0.0,0.0
67,,,,第1节,-5.5,0.87,5.5,0.8,163.5,0.83,163.5,0.83,163.5,1.0,,,1.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,2.0,1.0,0.0,0.0,4.0,3.0,0.0,1,7.0,GD,31.0,0,,11077.0,0.0,0.0
68,,,,第1节,-5.5,0.87,5.5,0.8,163.5,0.83,163.5,0.83,163.5,1.0,,,1.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,2.0,2.0,0.0,0.0,4.0,3.0,0.0,1,7.0,GD,31.0,0,,21086.0,0.0,0.0
69,,,,第1节,-5.5,0.8,4.5,0.87,163.5,0.83,163.5,0.83,4.5,1.0,,,1.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,2.0,2.0,0.0,0.0,4.0,3.0,0.0,1,7.0,GD,31.0,0,,11077.0,0.0,0.0
70,,,,第1节,-4.5,0.8,4.5,0.87,163.5,0.83,162.5,0.83,-4.5,1.0,,,1.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,2.0,2.0,0.0,0.0,4.0,3.0,0.0,1,7.0,GD,31.0,0,,11077.0,0.0,0.0
71,,,,第1节,-4.5,0.8,4.5,0.87,162.5,0.83,162.5,0.83,162.5,1.0,,,1.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,2.0,2.0,0.0,0.0,4.0,3.0,0.0,1,7.0,GD,31.0,0,,11077.0,0.0,0.0
72,,,,第1节,-4.5,0.8,4.5,0.87,162.5,0.83,162.5,0.83,162.5,1.0,,,1.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,2.0,2.0,0.0,0.0,4.0,3.0,0.0,1,7.0,GD,29.0,0,,21077.0,0.45,0.0
73,,,,第1节,-4.5,0.87,5.5,0.8,162.5,0.83,162.5,0.83,5.5,1.0,,,1.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,2.0,2.0,0.0,0.0,4.0,3.0,0.0,1,7.0,GD,29.0,0,,21077.0,0.45,0.0
74,,,,第1节,-5.5,0.87,5.5,0.8,162.5,0.83,162.5,0.83,-5.5,1.0,,,1.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,2.0,2.0,0.0,0.0,4.0,3.0,0.0,1,7.0,GD,23.0,0,,21077.0,0.45,0.0
75,,,,第1节,-5.5,0.8,4.5,0.87,162.5,0.83,162.5,0.83,4.5,1.0,,,1.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,2.0,2.0,0.0,0.0,4.0,3.0,0.0,1,7.0,GD,23.0,0,,21077.0,0.45,0.0
76,,,,第1节,-4.5,0.8,4.5,0.87,162.5,0.83,161.5,0.83,-4.5,1.0,,,1.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,2.0,2.0,0.0,0.0,4.0,3.0,0.0,1,7.0,GD,23.0,0,,21077.0,0.45,0.0
77,,,,第1节,-4.5,0.8,4.5,0.87,161.5,0.83,161.5,0.83,161.5,1.0,,,1.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,2.0,2.0,0.0,0.0,4.0,3.0,0.0,1,7.0,GD,23.0,0,,21077.0,0.45,0.0
78,,,,第1节,-4.5,0.8,4.5,0.87,161.5,0.83,161.5,0.83,161.5,1.0,,,1.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,2.0,2.0,0.0,0.0,4.0,3.0,0.0,1,7.0,GD,22.0,0,,11077.0,0.45,0.0
79,,,,第1节,-4.5,0.87,5.5,0.8,161.5,0.83,161.5,0.83,5.5,1.0,,,1.0,0.0,0.0,2.0,0.0,0.0,5.0,5.0,2.0,2.0,0.0,0.0,4.0,3.0,0.0,1,7.0,GD,22.0,0,,21077.0,0.45,0.0
80,,,,第1节,-5.5,0.87,5.5,0.8,161.5,0.83,161.5,0.83,-5.5,1.0,,,1.0,0.0,0.0,3.0,0.0,0.0,5.0,5.0,2.0,2.0,0.0,0.0,4.0,6.0,0.0,1,7.0,GD,22.0,0,,21074.0,0.45,0.0
81,,,,第1节,-5.5,0.87,5.5,0.8,161.5,0.83,161.5,0.83,-5.5,1.0,,,1.0,0.0,0.0,3.0,0.0,0.0,5.0,5.0,2.0,2.0,0.0,0.0,6.0,3.0,0.0,1,7.0,GD,0.0,0,,11077.0,0.45,0.0
82,,,,第1节,-5.5,0.83,6.5,0.83,161.5,0.83,161.5,0.83,6.5,1.0,,,1.0,0.0,0.0,3.0,0.0,0.0,5.0,5.0,2.0,2.0,0.0,0.0,6.0,3.0,0.0,1,7.0,GD,0.0,0,,11077.0,0.45,0.0
83,,,,第1节,-6.5,0.83,6.5,0.83,161.5,0.83,162.5,0.83,-6.5,1.0,,,1.0,0.0,0.0,3.0,0.0,0.0,5.0,5.0,2.0,2.0,0.0,0.0,6.0,3.0,0.0,1,7.0,GD,0.0,0,,11077.0,0.45,0.0
84,,,,第1节,-6.5,0.83,6.5,0.83,162.5,0.83,162.5,0.83,162.5,1.0,,,1.0,0.0,0.0,3.0,0.0,0.0,5.0,5.0,2.0,2.0,0.0,0.0,6.0,3.0,0.0,1,7.0,GD,0.0,0,,11077.0,0.45,0.0
85,,,,第1节,-6.5,0.83,6.5,0.83,162.5,0.83,162.5,0.83,162.5,1.0,,,2.0,0.0,0.0,3.0,0.0,0.0,5.0,5.0,2.0,2.0,0.0,0.0,6.0,3.0,0.0,1,7.0,GD,0.0,0,,11075.0,0.0,0.0
86,,,,第1节,-6.5,0.83,6.5,0.83,162.5,0.83,162.5,0.83,162.5,1.0,,,2.0,0.0,0.0,3.0,0.0,0.0,5.0,5.0,2.0,2.0,0.0,0.0,6.0,6.0,0.0,1,7.0,GD,0.0,0,,21077.0,0.0,0.0
87,,,,第1节,-6.5,0.83,4.5,0.83,162.5,0.83,162.5,0.83,4.5,1.0,,,2.0,0.0,0.0,3.0,0.0,0.0,5.0,5.0,2.0,2.0,0.0,0.0,6.0,6.0,0.0,1,7.0,GD,0.0,0,,21077.0,0.0,0.0
88,,,,第1节,-4.5,0.83,4.5,0.83,162.5,0.83,164.5,0.83,-4.5,1.0,,,2.0,0.0,0.0,3.0,0.0,0.0,5.0,5.0,2.0,2.0,0.0,0.0,6.0,6.0,0.0,1,7.0,GD,0.0,0,,21077.0,0.0,0.0
89,,,,第1节,-4.5,0.83,4.5,0.83,164.5,0.83,164.5,0.83,164.5,1.0,,,2.0,0.0,0.0,3.0,0.0,0.0,5.0,5.0,2.0,2.0,0.0,0.0,6.0,6.0,0.0,1,7.0,GD,0.0,0,,21077.0,0.0,0.0
90,,,,第1节,-4.5,0.83,4.5,0.83,164.5,0.83,164.5,0.83,164.5,1.0,,,2.0,0.0,0.0,3.0,0.0,0.0,5.0,5.0,2.0,2.0,0.0,0.0,6.0,6.0,0.0,1,6.0,GD,44.0,0,,21077.0,0.0,0.0
91,,,,第1节,-4.5,0.83,4.5,0.83,164.5,0.83,164.5,0.83,164.5,1.0,,,2.0,0.0,0.0,3.0,0.0,0.0,5.0,5.0,2.0,2.0,0.0,0.0,6.0,6.0,0.0,1,6.0,GD,44.0,0,,21077.0,0.0,1.5
92,,,,第1节,-4.5,0.83,4.5,0.83,164.5,0.83,164.5,0.83,164.5,1.0,,,2.0,0.0,0.0,3.0,0.0,0.0,5.0,5.0,2.0,2.0,0.0,0.0,6.0,6.0,0.0,1,6.0,GD,30.0,0,,21077.0,0.0,1.5
93,,,,第1节,-4.5,0.87,4.5,0.8,163.5,0.83,163.5,0.83,163.5,1.0,,,2.0,0.0,0.0,3.0,0.0,0.0,5.0,5.0,2.0,2.0,0.0,0.0,6.0,6.0,0.0,1,6.0,GD,30.0,0,,11077.0,0.0,1.5
94,44.0,5.0,,第1节,-4.5,0.87,4.5,0.8,163.5,0.83,163.5,0.83,163.5,1.0,,,2.0,0.0,0.0,3.0,0.0,0.0,4.0,5.0,2.0,2.0,0.0,0.0,6.0,6.0,0.0,1,6.0,GD,14.0,0,,11081.0,0.0,0.0
95,44.0,5.0,,第1节,-4.5,0.87,4.5,0.8,162.5,0.83,162.5,0.83,162.5,1.0,,,2.0,0.0,0.0,3.0,0.0,0.0,4.0,5.0,2.0,2.0,0.0,0.0,6.0,6.0,0.0,1,6.0,GD,14.0,0,,11077.0,0.0,0.0
