,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HD,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TO,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,第1节,16.5,0.83,-16.5,0.83,227.5,0.83,227.5,0.83,,,,,,,,,,,,,,,,,,,0.0,1,12.0,,0.0,0,,,0.0,0.0
1,,,,第1节,16.5,0.83,-16.5,0.83,227.5,0.83,227.5,0.83,,,,,,,,,,,,,,,,,,,1.0,1,12.0,,0.0,0,,,0.0,0.0
2,,,,第1节,16.5,0.83,-16.5,0.83,227.5,0.83,227.5,0.83,,,,,,,,,,,,,,,,,,,1.0,1,12.0,,0.0,0,,,0.0,0.0
3,,,,第1节,16.5,0.83,-16.5,0.83,227.5,0.83,227.5,0.83,,,,,,,,,,,,,,,,,,,1.0,1,12.0,,0.0,0,,,0.0,0.0
4,,,,第1节,16.5,0.83,-16.5,0.83,227.5,0.83,227.5,0.83,,,,,,,,,,,,,,,,,,,1.0,1,12.0,,0.0,0,,,0.0,0.0
5,,,,第1节,16.5,0.83,-16.5,0.83,227.5,0.83,227.5,0.83,,,,,,,,,,,,,,,,,,,1.0,1,12.0,,0.0,0,,,0.0,0.0
6,,,,第1节,16.5,0.83,-16.5,0.83,227.5,0.83,227.5,0.83,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,1.0,1,12.0,,0.0,0,,1087.0,0.0,0.0
7,,,,第1节,16.5,0.83,-16.5,0.83,227.5,0.83,227.5,0.83,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,12.0,,0.0,0,,1087.0,0.0,0.0
8,,,,第1节,16.5,0.83,-16.5,0.83,227.5,0.83,227.5,0.83,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,12.0,,0.0,0,,1087.0,0.0,0.0
9,,,,第1节,16.5,0.83,-16.5,0.83,227.5,0.83,227.5,0.83,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,12.0,,0.0,0,,1087.0,0.0,0.0
10,,,,第1节,16.5,0.83,-16.5,0.83,227.5,0.83,227.5,0.83,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,12.0,,0.0,0,,1087.0,0.0,0.0
11,,,,第1节,16.5,0.83,-16.5,0.83,227.5,0.83,227.5,0.83,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1,12.0,,0.0,0,,1087.0,0.0,0.0
12,,,,第1节,16.5,0.83,-16.5,0.83,227.5,0.83,227.5,0.83,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,0.0,12.0,,0.0,0,,1087.0,0.0,0.0
13,,,,第1节,16.5,0.83,-16.5,0.83,227.5,0.83,227.5,0.83,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,0.0,12.0,GD,0.0,1.0,20180701123205.0,1087.0,0.0,0.0
14,,,,第1节,16.5,0.83,-16.5,0.83,227.5,0.83,227.5,0.83,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1.0,12.0,GD,0.0,1.0,20180701123205.0,1087.0,0.0,0.0
15,,,,第1节,16.5,0.83,-16.5,0.83,227.5,0.83,227.5,0.83,,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1.0,11.0,GD,54.0,1.0,20180701123208.0,21077.0,0.0,0.0
16,,,,第1节,16.5,0.83,-16.5,0.83,226.5,0.83,226.5,0.83,226.5,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0.0,1.0,11.0,GD,54.0,1.0,20180701123208.0,21077.0,0.0,0.0
17,,,,第1节,16.5,0.83,-16.5,0.83,226.5,0.83,226.5,0.83,226.5,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,2.0,0.0,1.0,11.0,GD,54.0,1.0,20180701123208.0,21074.0,0.0,0.0
